Date,temp_degC,doConcentration_mgpL,doSaturation_percent,Depth_m,site_no,lakeID
2025-04-22,11.7,10.4,100.4,0,MOHK_D10,MHK
2025-04-22,9.8,11.23,103.6,1,MOHK_D10,MHK
2025-04-22,9.7,11.23,103.4,2,MOHK_D10,MHK
2025-04-22,9.5,11.27,103.4,3,MOHK_D10,MHK
2025-04-22,9.3,11.25,102.8,4,MOHK_D10,MHK
2025-04-22,7.8,11.02,97.1,5,MOHK_D10,MHK
2025-04-22,7,10.8,93.2,6,MOHK_D10,MHK
2025-04-22,6.6,10.76,91.9,7,MOHK_D10,MHK
2025-04-22,6.4,10.7,90.8,8,MOHK_D10,MHK
2025-04-22,6.2,10.53,89,9,MOHK_D10,MHK
2025-04-22,6,10.37,87.3,10,MOHK_D10,MHK
2025-04-22,5.9,10.01,84,11,MOHK_D10,MHK
2025-04-22,5.8,9.69,81,12,MOHK_D10,MHK
