Date,temp_degC_probe,doConcentration_mgpL_probe,doSaturation_percent_probe,Depth_m,site_no,lakeID
2015-01-25,0.6,12.2,88.3,0,MOHK_D10,MHK
2015-01-25,1.4,12.04,89.2,1,MOHK_D10,MHK
2015-01-25,1.4,11.93,88.4,2,MOHK_D10,MHK
2015-01-25,1.4,11.9,88.3,3,MOHK_D10,MHK
2015-01-25,1.5,11.8,87.5,4,MOHK_D10,MHK
2015-01-25,1.5,11.64,86.4,5,MOHK_D10,MHK
2015-01-25,1.5,11.64,86.4,6,MOHK_D10,MHK
2015-01-25,11.6,11.38,84.7,7,MOHK_D10,MHK
2015-01-25,1.8,11.13,83.3,8,MOHK_D10,MHK
2015-01-25,2.2,10.62,80.5,9,MOHK_D10,MHK
2015-01-25,2.7,10.11,77.7,10,MOHK_D10,MHK
2015-01-25,3,9.7,75.1,11,MOHK_D10,MHK
2015-01-25,3.2,9.15,71.1,12,MOHK_D10,MHK
