Date,temp_degC,doConcentration_mgpL,doSaturation_percent,Depth_m,site_no,lakeID
2025-04-16,7,11.33,98.6,0,MOHK_D10,MHK
2025-04-16,6.8,11.35,98.3,1,MOHK_D10,MHK
2025-04-16,6.7,11.35,98,2,MOHK_D10,MHK
2025-04-16,6.6,11.38,98,3,MOHK_D10,MHK
2025-04-16,6.6,11.37,97.9,4,MOHK_D10,MHK
2025-04-16,6.6,11.36,97.7,5,MOHK_D10,MHK
2025-04-16,6.4,11.28,96.7,6,MOHK_D10,MHK
2025-04-16,6.3,11.26,96.3,7,MOHK_D10,MHK
2025-04-16,5.8,11.08,93.5,8,MOHK_D10,MHK
2025-04-16,5.7,10.98,92.2,9,MOHK_D10,MHK
2025-04-16,5.6,10.84,90.9,10,MOHK_D10,MHK
2025-04-16,5.5,10.82,90.7,11,MOHK_D10,MHK
2025-04-16,5.5,10.25,85.8,12,MOHK_D10,MHK
