Date,temp_degC_probe,doConcentration_mgpL_probe,doSaturation_percent_probe,Depth_m,site_no,lakeID
2014-08-25,27.1,8.33,109.8,0,MOHK_D10,MHK
2014-08-25,26.2,8.39,108.6,1,MOHK_D10,MHK
2014-08-25,25.8,8.65,111.4,2,MOHK_D10,MHK
2014-08-25,25.4,8.79,112.2,3,MOHK_D10,MHK
2014-08-25,24.1,8.89,110.8,4,MOHK_D10,MHK
2014-08-25,18,12.42,137.4,5,MOHK_D10,MHK
2014-08-25,14.9,12.35,127.9,6,MOHK_D10,MHK
2014-08-25,11,10.74,101.8,7,MOHK_D10,MHK
2014-08-25,9.4,9.34,85.4,8,MOHK_D10,MHK
2014-08-25,8.4,7.6,67.8,9,MOHK_D10,MHK
2014-08-25,7.5,4.46,39,10,MOHK_D10,MHK
2014-08-25,6.8,0.4,3.4,11,MOHK_D10,MHK
2014-08-25,6.6,0.33,2.8,12,MOHK_D10,MHK
