Date,temp_degC_probe,doConcentration_mgpL_probe,doSaturation_percent_probe,Depth_m,site_no,lakeID
2012-11-25,8.2,8.76,78.5,0,MOHK_D10,MHK
2012-11-25,8.1,8.7,77.9,1,MOHK_D10,MHK
2012-11-25,8.1,8.67,77.5,2,MOHK_D10,MHK
2012-11-25,8,8.66,77.3,3,MOHK_D10,MHK
2012-11-25,8,8.65,77.2,4,MOHK_D10,MHK
2012-11-25,8,8.63,77,5,MOHK_D10,MHK
2012-11-25,8,8.62,76.9,6,MOHK_D10,MHK
2012-11-25,8,8.61,76.8,7,MOHK_D10,MHK
2012-11-25,8,8.6,76.6,8,MOHK_D10,MHK
2012-11-25,8,8.59,76.5,9,MOHK_D10,MHK
2012-11-25,8,8.56,76.3,10,MOHK_D10,MHK
2012-11-25,8,8.54,76.1,11,MOHK_D10,MHK
2012-11-25,8,8.24,73.5,12,MOHK_D10,MHK
