Date,temp_degC_probe,doConcentration_mgpL_probe,doSaturation_percent_probe,Depth_m,lakeID
2024-04-23,11.7,10.81,104.1,0,MHK
2024-04-23,11.3,10.93,104.2,1,MHK
2024-04-23,11,11.01,104.2,2,MHK
2024-04-23,10.8,11.05,104.2,3,MHK
2024-04-23,10.6,11.05,103.8,4,MHK
2024-04-23,8.1,11.86,104.8,5,MHK
2024-04-23,7.2,12.04,104.2,6,MHK
2024-04-23,6.5,11.02,93.7,7,MHK
2024-04-23,6,10.66,89.5,8,MHK
2024-04-23,5.7,10.43,87,9,MHK
2024-04-23,5.5,10.18,84.5,10,MHK
2024-04-23,5.4,10.09,83.4,11,MHK
2024-04-23,5.3,9.66,79.7,12,MHK
