Date,temp_degC_probe,doConcentration_mgpL_probe,doSaturation_percent_probe,Depth_m,lakeID
2025-04-30,15,10.18,105.5,0,MHK
2025-04-30,15.7,10.27,105.8,1,MHK
2025-04-30,15.2,10.53,107.2,2,MHK
2025-04-30,13.5,10.63,106.6,3,MHK
2025-04-30,11.2,10.84,103.3,4,MHK
2025-04-30,9.4,10.71,97.8,5,MHK
2025-04-30,8.1,10.5,93,6,MHK
2025-04-30,7.5,10.29,89.6,7,MHK
2025-04-30,6.9,10.3,88.4,8,MHK
2025-04-30,6.5,10.08,85.7,9,MHK
2025-04-30,6.2,9.75,82.3,10,MHK
2025-04-30,6,9.16,76.9,11,MHK
2025-04-30,5.9,7.82,65.6,12,MHK
