Date,temp_degC_probe,doConcentration_mgpL_probe,doSaturation_percent_probe,Depth_m,lakeID
2024-08-05,27,8.25,108.3,0,MHK
2024-08-05,26.5,8.35,108.5,1,MHK
2024-08-05,26.1,8.48,109.4,2,MHK
2024-08-05,26,8.3,106.8,3,MHK
2024-08-05,24.7,7.83,98.4,4,MHK
2024-08-05,20,11.66,133.9,5,MHK
2024-08-05,15.7,10.84,113.8,6,MHK
2024-08-05,12.6,10.62,104.3,7,MHK
2024-08-05,10.1,8.87,82.1,8,MHK
2024-08-05,8.2,7.16,63.3,9,MHK
2024-08-05,7.2,4.39,37.9,10,MHK
2024-08-05,6.5,0.63,5.3,11,MHK
2024-08-05,6.3,0.34,2.9,12,MHK
