Date,temp_degC_probe,doConcentration_mgpL_probe,doSaturation_percent_probe,Depth_m,lakeID
2024-07-09,26.5,8.22,107.1,0,MHK
2024-07-09,26.5,8.23,107.1,1,MHK
2024-07-09,26.2,8.3,107.6,2,MHK
2024-07-09,24.8,8.85,111.5,3,MHK
2024-07-09,22.7,9.32,113.1,4,MHK
2024-07-09,17.4,11.08,121,5,MHK
2024-07-09,14,11.73,118.9,6,MHK
2024-07-09,12,11.45,111.1,7,MHK
2024-07-09,9.9,10.11,93.3,8,MHK
2024-07-09,8.2,8.3,73.5,9,MHK
2024-07-09,7,4.72,40.7,10,MHK
2024-07-09,6.3,3.26,27.6,11,MHK
2024-07-09,6.1,0.95,8,12,MHK
