Date,temp_degC,doConcentration_mgpL,doSaturation_percent,Depth_m,site_no,lakeID
2025-07-23,24.4,8.33,103.3,0,MOHK_D10,MHK
2025-07-23,24.6,8.28,103.1,1,MOHK_D10,MHK
2025-07-23,24.7,8.24,102.8,2,MOHK_D10,MHK
2025-07-23,24.7,8.17,101.9,3,MOHK_D10,MHK
2025-07-23,20.3,10.62,121.8,4,MOHK_D10,MHK
2025-07-23,15.6,11.8,122.7,5,MOHK_D10,MHK
2025-07-23,12.2,11.96,115.5,6,MOHK_D10,MHK
2025-07-23,10.2,11.61,107,7,MOHK_D10,MHK
2025-07-23,9,11.49,102.9,8,MOHK_D10,MHK
2025-07-23,7.9,9.01,78.5,9,MOHK_D10,MHK
2025-07-23,7.1,5.5,47,10,MOHK_D10,MHK
2025-07-23,6.5,2.81,23.7,11,MOHK_D10,MHK
2025-07-23,6.3,0.36,3,12,MOHK_D10,MHK
