Date,temp_degC_probe,doConcentration_mgpL_probe,doSaturation_percent_probe,Depth_m,site_no,lakeID
2025-02-12,0.1,13.19,93.5,0,MOHK_D10,MHK
2025-02-12,1.9,12.24,91.1,1,MOHK_D10,MHK
2025-02-12,2,12.07,90.3,2,MOHK_D10,MHK
2025-02-12,2.1,12.02,90,3,MOHK_D10,MHK
2025-02-12,2.1,11.97,89.6,4,MOHK_D10,MHK
2025-02-12,2.1,11.81,88.6,5,MOHK_D10,MHK
2025-02-12,2.2,11.46,86.1,6,MOHK_D10,MHK
2025-02-12,2.2,11.81,88.1,7,MOHK_D10,MHK
2025-02-12,2.3,11.16,84.1,8,MOHK_D10,MHK
2025-02-12,2.6,10.13,76.9,9,MOHK_D10,MHK
2025-02-12,2.9,9.6,73.5,10,MOHK_D10,MHK
2025-02-12,3.2,8.99,69.3,11,MOHK_D10,MHK
2025-02-12,3.3,8.26,63.9,12,MOHK_D10,MHK
