Date,temp_degC,doConcentration_mgpL,doSaturation_percent,Depth_m,site_no,lakeID
2025-06-04,19.1,9.51,106.6,0,MOHK_D10,MHK
2025-06-04,18.4,9.64,106.5,1,MOHK_D10,MHK
2025-06-04,16.6,10.02,106.7,2,MOHK_D10,MHK
2025-06-04,15.8,9.98,104.4,3,MOHK_D10,MHK
2025-06-04,14.3,10.44,106.8,4,MOHK_D10,MHK
2025-06-04,12,12.09,116.3,5,MOHK_D10,MHK
2025-06-04,9.9,10.63,97.7,6,MOHK_D10,MHK
2025-06-04,8.3,9.23,81.5,7,MOHK_D10,MHK
2025-06-04,7.4,8.83,76.3,8,MOHK_D10,MHK
2025-06-04,6.7,7.65,65,9,MOHK_D10,MHK
2025-06-04,6.3,6.37,53.6,10,MOHK_D10,MHK
2025-06-04,6.1,4.89,40.9,11,MOHK_D10,MHK
2025-06-04,6,4.17,34.8,12,MOHK_D10,MHK
