Date,temp_degC_probe,doConcentration_mgpL_probe,doSaturation_percent_probe,Depth_m,site_no,lakeID
2025-09-03,22.5,8.75,106,0,MOHK_D10,MHK
2025-09-03,21.9,8.85,106,1,MOHK_D10,MHK
2025-09-03,21.7,8.89,106.1,2,MOHK_D10,MHK
2025-09-03,21.1,8.78,103.4,3,MOHK_D10,MHK
2025-09-03,20.8,8.82,103.3,4,MOHK_D10,MHK
2025-09-03,19.6,10.14,116,5,MOHK_D10,MHK
2025-09-03,15.1,10.93,113.7,6,MOHK_D10,MHK
2025-09-03,11.9,10.27,99.7,7,MOHK_D10,MHK
2025-09-03,9.6,8.29,76.2,8,MOHK_D10,MHK
2025-09-03,8.6,6.64,59.6,9,MOHK_D10,MHK
2025-09-03,7.7,3.86,33.9,10,MOHK_D10,MHK
2025-09-03,7,0.52,4.5,11,MOHK_D10,MHK
2025-09-03,6.6,0.31,2.7,12,MOHK_D10,MHK
