Date,temp_degC,doConcentration_mgpL,doSaturation_percent,Depth_m,site_no,lakeID
2025-05-28,18.5,10.15,112.3,0,MOHK_D10,MHK
2025-05-28,18.1,10.32,113.2,1,MOHK_D10,MHK
2025-05-28,15.8,10.11,105.8,2,MOHK_D10,MHK
2025-05-28,14.8,10.25,105,3,MOHK_D10,MHK
2025-05-28,14.2,10.22,103.3,4,MOHK_D10,MHK
2025-05-28,10.7,10.48,97.9,5,MOHK_D10,MHK
2025-05-28,9.4,9.96,90.2,6,MOHK_D10,MHK
2025-05-28,8.1,9.22,80.9,7,MOHK_D10,MHK
2025-05-28,7.3,9.01,77.5,8,MOHK_D10,MHK
2025-05-28,6.7,8.59,72.8,9,MOHK_D10,MHK
2025-05-28,6.4,7.53,63.4,10,MOHK_D10,MHK
2025-05-28,6.1,5.92,49.4,11,MOHK_D10,MHK
2025-05-28,5.9,4.51,37.5,12,MOHK_D10,MHK
