Date,temp_degC_probe,doConcentration_mgpL_probe,doSaturation_percent_probe,Depth_m,lakeID
2024-05-16,16.2,9.8,104.9,0,MHK
2024-05-16,15.9,9.93,105.7,1,MHK
2024-05-16,15.7,10.14,107.4,2,MHK
2024-05-16,15.3,10.18,107,3,MHK
2024-05-16,13.5,11.19,113.1,4,MHK
2024-05-16,11.8,11.52,111.9,5,MHK
2024-05-16,10,11.74,109.5,6,MHK
2024-05-16,8.1,11.79,104.8,7,MHK
2024-05-16,7.2,11.45,99.6,8,MHK
2024-05-16,6.3,8.66,73.8,9,MHK
2024-05-16,5.9,8.28,69.9,10,MHK
2024-05-16,5.7,8.01,67.2,11,MHK
2024-05-16,5.6,6.9,57.7,12,MHK
