Date,temp_degC_probe,doConcentration_mgpL_probe,doSaturation_percent_probe,Depth_m,lakeID
2024-07-23,24.2,8.53,106.1,0,MHK
2024-07-23,25,8.44,106.7,1,MHK
2024-07-23,23.3,8.35,106,2,MHK
2024-07-23,25.4,8.18,104,3,MHK
2024-07-23,24.5,9.2,114.9,4,MHK
2024-07-23,20.3,10.89,125.8,5,MHK
2024-07-23,16.6,11.39,124.8,6,MHK
2024-07-23,13.3,11.18,111.3,7,MHK
2024-07-23,10.9,10.19,106.2,8,MHK
2024-07-23,9,9.91,71.4,9,MHK
2024-07-23,7.7,4.54,39.6,10,MHK
2024-07-23,6.9,2.38,20.4,11,MHK
2024-07-23,6.3,0.49,4.1,12,MHK
