Date,temp_degC,doConcentration_mgpL,doSaturation_percent,Depth_m,lakeID
2024-03-19,6.9,12.05,104.5,0,MHK
2024-03-19,6.6,12.2,105,1,MHK
2024-03-19,6.4,12.23,104.8,2,MHK
2024-03-19,6.3,12.27,104.8,3,MHK
2024-03-19,6.2,12.25,104.4,4,MHK
2024-03-19,6.1,12.3,104.6,5,MHK
2024-03-19,6,12.34,104.6,6,MHK
2024-03-19,5.9,12.34,104.5,7,MHK
2024-03-19,5.3,11.82,98.4,8,MHK
2024-03-19,5,11.38,94.1,9,MHK
2024-03-19,4.8,11.31,93,10,MHK
2024-03-19,NA,NA,NA,10.5,MHK
2024-03-19,4.7,11.24,92.3,11,MHK
2024-03-19,4.7,11.03,90.3,12,MHK
