Date,temp_degC_probe,doConcentration_mgpL_probe,doSaturation_percent_probe,Depth_m,site_no,lakeID
2025-08-19,23.9,8.55,105.1,0,MOHK_D10,MHK
2025-08-19,23.9,8.46,104,1,MOHK_D10,MHK
2025-08-19,23.8,8.46,103.9,2,MOHK_D10,MHK
2025-08-19,23.8,8.48,104.1,3,MOHK_D10,MHK
2025-08-19,23.7,8.46,103.7,4,MOHK_D10,MHK
2025-08-19,18.8,12.02,133.9,5,MOHK_D10,MHK
2025-08-19,13.9,12.04,120.8,6,MOHK_D10,MHK
2025-08-19,11.5,11.48,109.1,7,MOHK_D10,MHK
2025-08-19,9.2,8.69,78.4,8,MOHK_D10,MHK
2025-08-19,8.2,5.77,50.8,9,MOHK_D10,MHK
2025-08-19,7.3,1.6,13.7,10,MOHK_D10,MHK
2025-08-19,6.7,0.36,3.1,11,MOHK_D10,MHK
2025-08-19,6.5,0.3,2.6,12,MOHK_D10,MHK
