Date,temp_degC_probe,doConcentration_mgpL_probe,doSaturation_percent_probe,Depth_m,lakeID
2024-03-05,7,10.48,89.8,0,MHK
2024-03-05,5.7,10.96,90.9,1,MHK
2024-03-05,5.1,11.12,91,2,MHK
2024-03-05,4.9,11.22,91.1,3,MHK
2024-03-05,4.7,11.25,91,4,MHK
2024-03-05,4.6,11.24,90.8,5,MHK
2024-03-05,4.5,11.29,90.8,6,MHK
2024-03-05,4.5,11.27,90.6,7,MHK
2024-03-05,4.4,11.27,90.3,8,MHK
2024-03-05,4.4,11.26,90.2,9,MHK
2024-03-05,4.3,11.26,90.1,10,MHK
2024-03-05,NA,NA,NA,10.5,MHK
2024-03-05,4.3,11.24,90,11,MHK
2024-03-05,4.3,11.16,89.3,12,MHK
