Date,temp_degC_probe,doConcentration_mgpL_probe,doSaturation_percent_probe,Depth_m,site_no,lakeID
2019-11-25,7.5,8.41,73,0,MOHK_D10,MHK
2019-11-25,7,8.38,71.8,1,MOHK_D10,MHK
2019-11-25,6.9,8.35,71.4,2,MOHK_D10,MHK
2019-11-25,6.7,8.36,71.2,3,MOHK_D10,MHK
2019-11-25,6.7,8.35,71,4,MOHK_D10,MHK
2019-11-25,6.7,8.34,70.9,5,MOHK_D10,MHK
2019-11-25,6.7,8.32,70.7,6,MOHK_D10,MHK
2019-11-25,6.6,8.29,70.3,7,MOHK_D10,MHK
2019-11-25,6.6,8.29,70.3,8,MOHK_D10,MHK
2019-11-25,6.6,8.3,70.4,9,MOHK_D10,MHK
2019-11-25,6.6,8.29,70.3,10,MOHK_D10,MHK
2019-11-25,6.6,8.26,70,11,MOHK_D10,MHK
2019-11-25,6.7,0.2,3.4,12,MOHK_D10,MHK
