Date,temp_degC,doConcentration_mgpL,doSaturation_percent,Depth_m,site_no,lakeID
2025-11-05,10.8,9,85.3,0,MOHK_D10,MHK
2025-11-05,10.3,9.05,84.8,1,MOHK_D10,MHK
2025-11-05,10,9.07,84.5,2,MOHK_D10,MHK
2025-11-05,9.9,9.1,84.2,3,MOHK_D10,MHK
2025-11-05,9.9,9.07,84.2,4,MOHK_D10,MHK
2025-11-05,9.8,9.07,84.1,5,MOHK_D10,MHK
2025-11-05,9.7,9.08,84,6,MOHK_D10,MHK
2025-11-05,9.7,9.06,83.7,7,MOHK_D10,MHK
2025-11-05,9.6,9.06,83.7,8,MOHK_D10,MHK
2025-11-05,9.6,9.03,83.3,9,MOHK_D10,MHK
2025-11-05,9.5,8.82,81.2,10,MOHK_D10,MHK
2025-11-05,7.9,0.4,3.6,11,MOHK_D10,MHK
2025-11-05,7.3,0.34,3,12,MOHK_D10,MHK
