Date,temp_degC_probe,doConcentration_mgpL_probe,doSaturation_percent_probe,Depth_m,site_no,lakeID
2025-11-25,6.3,8.96,75.3,0,MOHK_D10,MHK
2025-11-25,6.3,8.92,74.8,1,MOHK_D10,MHK
2025-11-25,6.2,8.9,74.6,2,MOHK_D10,MHK
2025-11-25,6.2,8.88,74.3,3,MOHK_D10,MHK
2025-11-25,6.2,8.86,74.1,4,MOHK_D10,MHK
2025-11-25,6.1,8.85,74,5,MOHK_D10,MHK
2025-11-25,6.1,8.83,73.9,6,MOHK_D10,MHK
2025-11-25,6.1,8.82,73.7,7,MOHK_D10,MHK
2025-11-25,6.1,8.81,73.6,8,MOHK_D10,MHK
2025-11-25,6.1,8.8,72.5,9,MOHK_D10,MHK
2025-11-25,6.1,8.79,73.5,10,MOHK_D10,MHK
2025-11-25,6.1,8.77,73.3,11,MOHK_D10,MHK
2025-11-25,6.1,8.63,72.2,11.5,MOHK_D10,MHK
