Date,temp_degC_probe,doConcentration_mgpL_probe,doSaturation_percent_probe,Depth_m,site_no,lakeID
2025-06-26,24.7,8.57,107.5,0,MOHK_D10,MHK
2025-06-26,25,8.48,107,1,MOHK_D10,MHK
2025-06-26,24.1,8.99,111.4,2,MOHK_D10,MHK
2025-06-26,21.7,9.06,107.4,3,MOHK_D10,MHK
2025-06-26,17,10.65,114.7,4,MOHK_D10,MHK
2025-06-26,13.7,11.88,119.2,5,MOHK_D10,MHK
2025-06-26,11.7,12.29,117.8,6,MOHK_D10,MHK
2025-06-26,9.3,11.47,104.1,7,MOHK_D10,MHK
2025-06-26,7.9,9.37,82.2,8,MOHK_D10,MHK
2025-06-26,7.1,6.68,57.4,9,MOHK_D10,MHK
2025-06-26,6.5,4.63,39.2,10,MOHK_D10,MHK
2025-06-26,6.2,3.94,33.1,11,MOHK_D10,MHK
2025-06-26,6.1,2.02,16.9,12,MOHK_D10,MHK
