Date,temp_degC_probe,doConcentration_mgpL_probe,doSaturation_percent_probe,Depth_m,lakeID
2024-06-18,24.2,8.34,103.2,0,MHK
2024-06-18,23.8,8.4,103.1,1,MHK
2024-06-18,22.9,8.22,99.2,2,MHK
2024-06-18,21.9,8.44,100,3,MHK
2024-06-18,19.7,9.74,110.4,4,MHK
2024-06-18,15.9,11.04,115.6,5,MHK
2024-06-18,11.9,11.49,110.3,6,MHK
2024-06-18,9.5,11.71,106.1,7,MHK
2024-06-18,8.3,11.55,101.7,8,MHK
2024-06-18,7.4,10.66,91.9,9,MHK
2024-06-18,7.4,6.46,54.7,10,MHK
2024-06-18,6.2,5.42,45.3,11,MHK
2024-06-18,5.9,2.67,22.2,12,MHK
