Date,temp_degC_probe,doConcentration_mgpL_probe,doSaturation_percent_probe,Depth_m,site_no,lakeID
2015-10-25,15.1,9.41,97.7,0,MOHK_D10,MHK
2015-10-25,15,9.41,97.6,1,MOHK_D10,MHK
2015-10-25,14.9,9.38,87.1,2,MOHK_D10,MHK
2015-10-25,14.8,9.32,96.2,3,MOHK_D10,MHK
2015-10-25,14.7,9.28,95.6,4,MOHK_D10,MHK
2015-10-25,14.7,9.28,95.7,5,MOHK_D10,MHK
2015-10-25,14.7,9.26,95.4,6,MOHK_D10,MHK
2015-10-25,14.3,8.84,90.4,7,MOHK_D10,MHK
2015-10-25,10.4,5.25,49.1,8,MOHK_D10,MHK
2015-10-25,8.8,2.11,19,9,MOHK_D10,MHK
2015-10-25,7.7,0.35,3.1,10,MOHK_D10,MHK
2015-10-25,7.1,0.28,2.4,11,MOHK_D10,MHK
2015-10-25,6.9,0.27,2.3,12,MOHK_D10,MHK
