Date,temp_degC_probe,doConcentration_mgpL_probe,doSaturation_percent_probe,Depth_m,site_no,lakeID
2025-08-06,24.6,8.89,110.1,0,MOHK_D10,MHK
2025-08-06,24.5,9.11,112.5,1,MOHK_D10,MHK
2025-08-06,24.3,9.17,112.9,2,MOHK_D10,MHK
2025-08-06,24.1,9.24,113.3,3,MOHK_D10,MHK
2025-08-06,23.3,8.97,108.4,4,MOHK_D10,MHK
2025-08-06,17.5,11.59,124.8,5,MOHK_D10,MHK
2025-08-06,14.5,12.16,122.9,6,MOHK_D10,MHK
2025-08-06,11.3,11.73,110.4,7,MOHK_D10,MHK
2025-08-06,8.5,9.65,85.1,8,MOHK_D10,MHK
2025-08-06,7.3,5.53,47.3,9,MOHK_D10,MHK
2025-08-06,6.8,2.83,23.9,10,MOHK_D10,MHK
2025-08-06,6.6,0.53,4.4,11,MOHK_D10,MHK
2025-08-06,6.3,0.33,2.8,12,MOHK_D10,MHK
