Date,temp_degC_probe,doConcentration_mgpL_probe,doSaturation_percent_probe,Depth_m,site_no,lakeID
2030-04-25,15,10.18,105.5,0,MOHK_D10,MHK
2030-04-25,15.7,10.27,105.8,1,MOHK_D10,MHK
2030-04-25,15.2,10.53,107.2,2,MOHK_D10,MHK
2030-04-25,13.5,10.63,106.6,3,MOHK_D10,MHK
2030-04-25,11.2,10.84,103.3,4,MOHK_D10,MHK
2030-04-25,9.4,10.71,97.8,5,MOHK_D10,MHK
2030-04-25,8.1,10.5,93,6,MOHK_D10,MHK
2030-04-25,7.5,10.29,89.6,7,MOHK_D10,MHK
2030-04-25,6.9,10.3,88.4,8,MOHK_D10,MHK
2030-04-25,6.5,10.08,85.7,9,MOHK_D10,MHK
2030-04-25,6.2,9.75,82.3,10,MOHK_D10,MHK
2030-04-25,6,9.16,76.9,11,MOHK_D10,MHK
2030-04-25,5.9,7.82,65.6,12,MOHK_D10,MHK
