Date,temp_degC_probe,doConcentration_mgpL_probe,doSaturation_percent_probe,Depth_m,lakeID
2024-08-21,22.1,8.59,102.9,0,MHK
2024-08-21,22.3,8.54,102.7,1,MHK
2024-08-21,22.3,8.5,102.2,2,MHK
2024-08-21,22.2,8.46,101.4,3,MHK
2024-08-21,22.1,8.32,99.6,4,MHK
2024-08-21,20.5,10.01,116.2,5,MHK
2024-08-21,17.1,9.74,105.3,6,MHK
2024-08-21,12.9,9.19,90.9,7,MHK
2024-08-21,10.5,8.48,79.4,8,MHK
2024-08-21,8.5,5.38,48,9,MHK
2024-08-21,7.2,1.69,14.6,10,MHK
2024-08-21,6.7,0.38,3.2,11,MHK
2024-08-21,6.3,0.27,2.3,12,MHK
