Date,temp_degC_probe,doConcentration_mgpL_probe,doSaturation_percent_probe,Depth_m,lakeID
2024-07-02,23.5,8.46,103.1,0,MHK
2024-07-02,23.1,8.49,102.7,1,MHK
2024-07-02,22.9,8.5,102.4,2,MHK
2024-07-02,22.7,8.45,101.6,3,MHK
2024-07-02,22.5,8.32,99.5,4,MHK
2024-07-02,17.6,11.17,121.3,5,MHK
2024-07-02,13.3,11.72,115.9,6,MHK
2024-07-02,11,11.52,108.2,7,MHK
2024-07-02,8.9,10.86,97.1,8,MHK
2024-07-02,7.2,9.55,81.9,9,MHK
2024-07-02,6.5,4.9,41.2,10,MHK
2024-07-02,6.3,3.91,32.6,11,MHK
2024-07-02,5.9,1.42,11.8,12,MHK
