Date,temp_degC_probe,doConcentration_mgpL_probe,doSaturation_percent_probe,Depth_m,site_no,lakeID
2025-12-11,3.2,10.81,85.4,0,MOHK_D10,MHK
2025-12-11,3.2,10.7,84.7,1,MOHK_D10,MHK
2025-12-11,3.2,10.63,84.1,2,MOHK_D10,MHK
2025-12-11,3.2,10.56,83.6,3,MOHK_D10,MHK
2025-12-11,3.1,10.58,83.5,4,MOHK_D10,MHK
2025-12-11,3.2,10.54,83.3,5,MOHK_D10,MHK
2025-12-11,3.5,10.27,81.9,6,MOHK_D10,MHK
2025-12-11,3.6,10.21,81.5,7,MOHK_D10,MHK
2025-12-11,3.6,10.16,81.2,8,MOHK_D10,MHK
2025-12-11,3.7,10.1,80.8,9,MOHK_D10,MHK
2025-12-11,3.7,10.06,80.5,10,MOHK_D10,MHK
2025-12-11,3.7,10,80.1,11,MOHK_D10,MHK
2025-12-11,4,1.26,10.2,12,MOHK_D10,MHK
