Date,temp_degC_probe,doConcentration_mgpL_probe,doSaturation_percent_probe,Depth_m,lakeID
2025-01-02,4.3,10.26,82.9,0,MHK
2025-01-02,4.1,10.2,82,1,MHK
2025-01-02,3.9,10.24,81.9,2,MHK
2025-01-02,3.8,10.28,81.9,3,MHK
2025-01-02,3.7,10.31,81.9,4,MHK
2025-01-02,3.7,10.32,81.9,5,MHK
2025-01-02,3.6,10.31,81.8,6,MHK
2025-01-02,3.6,10.31,81.7,7,MHK
2025-01-02,3.6,10.3,81.7,8,MHK
2025-01-02,3.6,10.31,81.6,9,MHK
2025-01-02,3.6,10.29,81.4,10,MHK
2025-01-02,3.6,10.28,81.4,11,MHK
2025-01-02,3.5,10.25,81.1,12,MHK
