Date,temp_degC_probe,doConcentration_mgpL_probe,doSaturation_percent_probe,Depth_m,lakeID
2024-02-06,2.3,12.88,97.7,0,MHK
2024-02-06,3.2,12.29,95.5,1,MHK
2024-02-06,3.3,12.23,95.1,2,MHK
2024-02-06,3.2,12.27,95.3,3,MHK
2024-02-06,3.3,11.5,89.4,4,MHK
2024-02-06,3.3,10.7,83.4,5,MHK
2024-02-06,3.4,10.92,81.3,6,MHK
2024-02-06,3.5,10.22,79.8,7,MHK
2024-02-06,3.5,10.02,78.3,8,MHK
2024-02-06,3.5,9.9,77.4,9,MHK
2024-02-06,3.5,9.77,76.5,10,MHK
2024-02-06,3.5,9.67,75.6,11,MHK
2024-02-06,3.5,9.84,77,12,MHK
