Date,temp_degC_probe,doConcentration_mgpL_probe,doSaturation_percent_probe,Depth_m,site_no,lakeID
2025-01-29,1,12.78,96.1,0,MOHK_D10,MHK
2025-01-29,1.9,12.25,94.2,1,MOHK_D10,MHK
2025-01-29,1.9,11.91,91.8,2,MOHK_D10,MHK
2025-01-29,1.8,11.9,91.5,3,MOHK_D10,MHK
2025-01-29,1.9,11.7,90,4,MOHK_D10,MHK
2025-01-29,1.8,11.71,90,5,MOHK_D10,MHK
2025-01-29,1.9,11.58,89.1,6,MOHK_D10,MHK
2025-01-29,1.9,11.24,86.6,7,MOHK_D10,MHK
2025-01-29,2,10.91,84.3,8,MOHK_D10,MHK
2025-01-29,2.4,10.2,79.6,9,MOHK_D10,MHK
2025-01-29,2.7,9.93,78.1,10,MOHK_D10,MHK
2025-01-29,3,9.38,74.4,11,MOHK_D10,MHK
2025-01-29,3.2,7.89,62.9,12,MOHK_D10,MHK
