Date,temp_degC_probe,doConcentration_mgpL_probe,doSaturation_percent_probe,Depth_m,lakeID
2024-01-10,5.2,10.03,84.8,0,MHK
2024-01-10,3.9,10.47,85.5,1,MHK
2024-01-10,3.7,10.52,85.4,2,MHK
2024-01-10,3.6,10.54,85.3,3,MHK
2024-01-10,3.4,10.53,85.2,4,MHK
2024-01-10,3.6,10.42,84.4,5,MHK
2024-01-10,3.7,10.31,83.7,6,MHK
2024-01-10,3.7,10.21,83,7,MHK
2024-01-10,3.8,10.17,82.7,8,MHK
2024-01-10,3.8,10.11,82.3,9,MHK
2024-01-10,3.8,10.06,81.9,10,MHK
2024-01-10,3.8,9.92,80.8,11,MHK
2024-01-10,3.7,9.97,80.9,12,MHK
