Date,temp_degC_probe,doConcentration_mgpL_probe,doSaturation_percent_probe,Depth_m,site_no,lakeID
2025-04-09,6.3,11.67,98,0,MOHK_D10,MHK
2025-04-09,6.2,11.47,96.1,1,MOHK_D10,MHK
2025-04-09,6.1,11.42,95.5,2,MOHK_D10,MHK
2025-04-09,6,11.41,95.2,3,MOHK_D10,MHK
2025-04-09,6,11.39,95,4,MOHK_D10,MHK
2025-04-09,6,11.38,94.8,5,MOHK_D10,MHK
2025-04-09,6,11.36,94.6,6,MOHK_D10,MHK
2025-04-09,6,11.35,94.5,7,MOHK_D10,MHK
2025-04-09,6,11.33,94.4,8,MOHK_D10,MHK
2025-04-09,5.9,11.31,94.2,9,MOHK_D10,MHK
2025-04-09,5.9,11.3,94,10,MOHK_D10,MHK
2025-04-09,5.9,11.25,93.5,11,MOHK_D10,MHK
2025-04-09,5.4,10,82,12,MOHK_D10,MHK
