Date,temp_degC_probe,doConcentration_mgpL_probe,doSaturation_percent_probe,Depth_m,site_no,lakeID
2017-12-25,2.5,10.76,82.9,0,MOHK_D10,MHK
2017-12-25,2.3,10.72,82.2,1,MOHK_D10,MHK
2017-12-25,2.2,10.68,81.7,2,MOHK_D10,MHK
2017-12-25,2.2,10.65,81.5,3,MOHK_D10,MHK
2017-12-25,2.3,10.56,81,4,MOHK_D10,MHK
2017-12-25,2.5,10.42,80.3,5,MOHK_D10,MHK
2017-12-25,2.8,10.24,79.5,6,MOHK_D10,MHK
2017-12-25,3,10.04,78.5,7,MOHK_D10,MHK
2017-12-25,3.2,9.95,78,8,MOHK_D10,MHK
2017-12-25,3.3,9.72,76.5,9,MOHK_D10,MHK
2017-12-25,3.5,9.63,76,10,MOHK_D10,MHK
2017-12-25,3.6,8.98,71.2,11,MOHK_D10,MHK
2017-12-25,3.7,5.29,42.1,12,MOHK_D10,MHK
