Date,Time,Site_Name,temp_degC,doConcentration_mgpL,doSaturation_percent,chlorophyll_RFU,phycocyaninBGA_RFU_14C102008,specificConductivity_uSpcm,salinity_psu,tds_mgpL,barometerAirHandheld_mbars,lakeID,Depth_m,turbidity_Fnu,orp_MV,waterPressure_barA,pH,latitude,longitude,altitude_m,date
2/25/2026,10:19:51,Mohonk,0.04,12.98,88.9,0.92,1.28,46.6,0.02,30,718.9,MHK,0,NA,NA,NA,NA,41.766,-74.158,379,2026-02-25
2/25/2026,10:20:38,Mohonk,0.036,13.07,89.5,0.34,1.22,84.7,0.04,55,718.9,MHK,0.25,NA,NA,NA,NA,41.766,-74.158,379,2026-02-25
2/25/2026,10:21:03,Mohonk,0.043,13.07,89.5,1.07,1.58,87.5,0.04,57,718.9,MHK,0.5,NA,NA,NA,NA,41.766,-74.158,379,2026-02-25
2/25/2026,10:22:08,Mohonk,0.039,12.94,88.6,1.53,1.69,105.3,0.05,68,718.9,MHK,0.75,NA,NA,NA,NA,41.766,-74.158,379,2026-02-25
2/25/2026,10:23:05,Mohonk,0.19,12.82,88.2,0.22,1.25,108.9,0.05,71,718.9,MHK,1,NA,NA,NA,NA,41.766,-74.158,379,2026-02-25
2/25/2026,10:24:46,Mohonk,0.143,12.39,85.1,0.16,0.95,105.9,0.05,69,718.9,MHK,1.25,NA,NA,NA,NA,41.766,-74.158,379,2026-02-25
2/25/2026,10:25:18,Mohonk,1.09,12.16,85.8,0.33,1.1,103.3,0.05,67,718.9,MHK,1.5,NA,NA,NA,NA,41.766,-74.158,379,2026-02-25
2/25/2026,10:25:54,Mohonk,1.899,11.8,85.1,0.3,0.97,100.2,0.05,65,718.9,MHK,1.75,NA,NA,NA,NA,41.766,-74.158,379,2026-02-25
2/25/2026,10:26:22,Mohonk,2.037,11.57,83.8,0.21,0.92,100,0.05,65,718.9,MHK,2,NA,NA,NA,NA,41.766,-74.158,379,2026-02-25
2/25/2026,10:27:27,Mohonk,2.193,11.12,80.8,0.08,0.8,100.6,0.05,65,718.9,MHK,2.25,NA,NA,NA,NA,41.766,-74.158,379,2026-02-25
2/25/2026,10:27:55,Mohonk,2.332,10.93,79.8,0.06,0.81,100.4,0.05,65,718.9,MHK,2.5,NA,NA,NA,NA,41.766,-74.158,379,2026-02-25
