Date,Time,Site_Name,temp_degC,doConcentration_mgpL,doSaturation_percent,chlorophyll_RFU,phycocyaninBGA_RFU_14C102008,specificConductivity_uSpcm,salinity_psu,tds_mgpL,barometerAirHandheld_mbars,lakeID,Depth_m,turbidity_Fnu,orp_MV,waterPressure_barA,latitude,longitude,altitude_m,date
2/19/2026,13:01:01,Mohonk,0.456,12.27,85.1,0.42,1.18,136.9,0.06,89,729.1,MHK,0,NA,NA,NA,41.766,-74.158,379,2026-02-19
2/19/2026,13:01:40,Mohonk,0.236,12.94,89.1,0.33,1.21,128.7,0.06,84,729,MHK,0.25,NA,NA,NA,41.766,-74.158,379,2026-02-19
2/19/2026,13:02:27,Mohonk,1.305,13.05,92.6,1.31,1.36,105.2,0.05,68,729,MHK,0.5,NA,NA,NA,41.766,-74.158,379,2026-02-19
2/19/2026,13:03:00,Mohonk,1.428,12.96,92.3,1.23,1.3,104.9,0.05,68,729,MHK,0.75,NA,NA,NA,41.766,-74.158,379,2026-02-19
2/19/2026,13:03:34,Mohonk,1.603,12.78,91.5,0.37,1.3,104.1,0.05,68,728.9,MHK,1,NA,NA,NA,41.766,-74.158,379,2026-02-19
2/19/2026,13:04:02,Mohonk,1.868,12.44,89.7,0.31,0.92,102.9,0.05,67,728.9,MHK,1.25,NA,NA,NA,41.766,-74.158,379,2026-02-19
2/19/2026,13:04:45,Mohonk,2.052,11.85,85.8,0.12,0.86,102,0.05,66,728.9,MHK,1.5,NA,NA,NA,41.766,-74.158,379,2026-02-19
2/19/2026,13:05:26,Mohonk,2.212,11.44,83.2,0.1,0.82,101.3,0.05,66,729,MHK,1.75,NA,NA,NA,41.766,-74.158,379,2026-02-19
2/19/2026,13:05:52,Mohonk,2.324,11.22,81.9,0.11,0.79,101.1,0.05,66,728.9,MHK,2,NA,NA,NA,41.766,-74.158,379,2026-02-19
2/19/2026,13:06:19,Mohonk,2.346,11.05,80.7,0.05,0.78,101.2,0.05,66,728.9,MHK,2.25,NA,NA,NA,41.766,-74.158,379,2026-02-19
2/19/2026,13:06:50,Mohonk,2.384,10.89,79.6,0.1,0.85,101.2,0.05,66,729,MHK,2.5,NA,NA,NA,41.766,-74.158,379,2026-02-19
2/19/2026,13:07:38,Mohonk,2.418,10.71,78.3,0.32,1.05,101.4,0.05,66,728.9,MHK,2.75,NA,NA,NA,41.766,-74.158,379,2026-02-19
2/19/2026,13:08:09,Mohonk,2.435,10.62,77.7,0.03,0.76,101.5,0.05,66,728.9,MHK,3,NA,NA,NA,41.766,-74.158,379,2026-02-19
2/19/2026,13:08:42,Mohonk,2.445,10.54,77.1,0.07,0.75,101.5,0.05,66,728.9,MHK,3.25,NA,NA,NA,41.766,-74.158,379,2026-02-19
2/19/2026,13:09:22,Mohonk,2.456,10.44,76.5,0.03,0.77,101.9,0.05,66,728.9,MHK,3.5,NA,NA,NA,41.766,-74.158,379,2026-02-19
2/19/2026,13:09:54,Mohonk,2.467,10.38,76,0.05,0.77,102,0.05,66,729,MHK,3.75,NA,NA,NA,41.766,-74.158,379,2026-02-19
2/19/2026,13:10:20,Mohonk,2.477,10.33,75.7,0.05,0.75,102.1,0.05,66,728.9,MHK,4,NA,NA,NA,41.766,-74.158,379,2026-02-19
2/19/2026,13:10:50,Mohonk,2.485,10.28,75.3,0.1,0.75,102.1,0.05,66,728.9,MHK,4.25,NA,NA,NA,41.766,-74.158,379,2026-02-19
2/19/2026,13:11:22,Mohonk,2.491,10.23,75,0.1,0.78,102.1,0.05,66,728.9,MHK,4.5,NA,NA,NA,41.766,-74.158,379,2026-02-19
