Date,Time,Site_Name,temp_degC,doConcentration_mgpL,doSaturation_percent,chlorophyll_RFU,phycocyaninBGA_RFU_14C102008,specificConductivity_uSpcm,salinity_psu,tds_mgpL,barometerAirHandheld_mbars,lakeID,Depth_m,turbidity_Fnu,orp_MV,waterPressure_barA,pH,latitude,longitude,altitude_m,date
7/29/2026,13:39:31,Mohonk,23.919,8.26,98,0.1,-0.49,97.8,0.04,64,718.5,MHK,0,NA,NA,NA,NA,41.766,-74.158,379,2026-07-29
7/29/2026,13:40:05,Mohonk,23.905,8.28,98.2,0.09,-0.5,97.8,0.04,64,718.4,MHK,0.25,NA,NA,NA,NA,41.766,-74.158,379,2026-07-29
7/29/2026,13:40:40,Mohonk,23.754,8.28,97.9,0.18,-0.48,97.9,0.05,64,718.4,MHK,0.5,NA,NA,NA,NA,41.766,-74.158,379,2026-07-29
7/29/2026,13:41:17,Mohonk,23.694,8.29,98,0.16,-0.47,97.8,0.04,64,718.6,MHK,0.75,NA,NA,NA,NA,41.766,-74.158,379,2026-07-29
7/29/2026,13:41:46,Mohonk,23.667,8.29,97.9,0.15,-0.5,97.9,0.05,64,718.5,MHK,1,NA,NA,NA,NA,41.766,-74.158,379,2026-07-29
7/29/2026,13:42:13,Mohonk,23.629,8.29,97.9,0.17,-0.45,98.1,0.05,64,718.4,MHK,1.25,NA,NA,NA,NA,41.766,-74.158,379,2026-07-29
7/29/2026,13:42:39,Mohonk,23.596,8.29,97.7,0.19,-0.45,98.1,0.05,64,718.4,MHK,1.5,NA,NA,NA,NA,41.766,-74.158,379,2026-07-29
7/29/2026,13:44:29,Mohonk,23.503,8.28,97.5,0.14,-0.49,99.6,0.05,65,718.4,MHK,1.75,NA,NA,NA,NA,41.766,-74.158,379,2026-07-29
7/29/2026,13:44:57,Mohonk,23.472,8.31,97.8,0.17,-0.5,100,0.05,65,718.4,MHK,2,NA,NA,NA,NA,41.766,-74.158,379,2026-07-29
7/29/2026,13:45:24,Mohonk,23.446,8.28,97.3,0.17,-0.45,100.1,0.05,65,718.4,MHK,2.25,NA,NA,NA,NA,41.766,-74.158,379,2026-07-29
7/29/2026,13:45:53,Mohonk,23.438,8.23,96.7,0.17,-0.49,100.2,0.05,65,718.3,MHK,2.5,NA,NA,NA,NA,41.766,-74.158,379,2026-07-29
7/29/2026,13:46:29,Mohonk,23.34,8.29,97.3,0.16,-0.46,101.4,0.05,66,718.4,MHK,2.75,NA,NA,NA,NA,41.766,-74.158,379,2026-07-29
7/29/2026,13:46:59,Mohonk,23.308,8.4,98.5,0.18,-0.46,101,0.05,66,718.4,MHK,3,NA,NA,NA,NA,41.766,-74.158,379,2026-07-29
7/29/2026,13:47:31,Mohonk,23.204,8.45,98.9,0.19,-0.46,100.9,0.05,66,718.4,MHK,3.25,NA,NA,NA,NA,41.766,-74.158,379,2026-07-29
7/29/2026,13:48:00,Mohonk,23.106,8.32,97.2,0.25,-0.37,103,0.05,67,718.4,MHK,3.5,NA,NA,NA,NA,41.766,-74.158,379,2026-07-29
7/29/2026,13:48:28,Mohonk,22.919,8.35,97.2,0.18,-0.42,101.6,0.05,66,718.4,MHK,3.75,NA,NA,NA,NA,41.766,-74.158,379,2026-07-29
7/29/2026,13:48:56,Mohonk,22.488,8.43,97.3,0.27,-0.38,106,0.05,69,718.3,MHK,4,NA,NA,NA,NA,41.766,-74.158,379,2026-07-29
7/29/2026,13:49:28,Mohonk,21.812,8.98,102.4,0.29,-0.38,106.9,0.05,69,718.4,MHK,4.25,NA,NA,NA,NA,41.766,-74.158,379,2026-07-29
7/29/2026,13:50:06,Mohonk,20.983,9.97,111.8,0.29,-0.31,105.7,0.05,69,718.5,MHK,4.5,NA,NA,NA,NA,41.766,-74.158,379,2026-07-29
7/29/2026,13:50:36,Mohonk,19.898,10.95,120.2,0.35,-0.24,104.1,0.05,68,718.5,MHK,4.75,NA,NA,NA,NA,41.766,-74.158,379,2026-07-29
7/29/2026,13:51:06,Mohonk,18.821,11.56,124.2,0.24,-0.21,103.7,0.05,67,718.5,MHK,5,NA,NA,NA,NA,41.766,-74.158,379,2026-07-29
7/29/2026,13:51:38,Mohonk,17.441,11.9,124.3,0.22,-0.16,103.4,0.05,67,718.4,MHK,5.25,NA,NA,NA,NA,41.766,-74.158,379,2026-07-29
7/29/2026,13:52:04,Mohonk,16.717,12.03,123.8,0.32,-0.11,102.8,0.05,67,718.4,MHK,5.5,NA,NA,NA,NA,41.766,-74.158,379,2026-07-29
7/29/2026,13:52:35,Mohonk,15.549,12.37,124.1,0.38,-0.06,103.1,0.05,67,718.4,MHK,5.75,NA,NA,NA,NA,41.766,-74.158,379,2026-07-29
7/29/2026,13:53:03,Mohonk,14.651,12.65,124.6,0.41,0.02,103.3,0.05,67,718.4,MHK,6,NA,NA,NA,NA,41.766,-74.158,379,2026-07-29
7/29/2026,13:53:32,Mohonk,13.509,12.59,120.9,0.71,0.27,102.2,0.05,66,718.4,MHK,6.25,NA,NA,NA,NA,41.766,-74.158,379,2026-07-29
7/29/2026,13:54:07,Mohonk,12.441,12.4,116.3,0.88,0.37,101.8,0.05,66,718.4,MHK,6.5,NA,NA,NA,NA,41.766,-74.158,379,2026-07-29
7/29/2026,13:54:35,Mohonk,11.491,12.44,114.2,0.73,0.44,101.9,0.05,66,718.4,MHK,6.75,NA,NA,NA,NA,41.766,-74.158,379,2026-07-29
7/29/2026,13:55:10,Mohonk,10.923,12.07,109.3,0.78,0.44,101.1,0.05,66,718.3,MHK,7,NA,NA,NA,NA,41.766,-74.158,379,2026-07-29
7/29/2026,13:55:48,Mohonk,10.405,11.62,103.9,0.85,0.55,100.9,0.05,66,718.3,MHK,7.25,NA,NA,NA,NA,41.766,-74.158,379,2026-07-29
7/29/2026,13:56:16,Mohonk,10.016,11.27,99.9,0.67,0.48,101.2,0.05,66,718.3,MHK,7.5,NA,NA,NA,NA,41.766,-74.158,379,2026-07-29
7/29/2026,13:56:29,Mohonk,9.959,11.16,98.8,0.79,0.5,101.3,0.05,66,718.3,MHK,7.75,NA,NA,NA,NA,41.766,-74.158,379,2026-07-29
7/29/2026,13:57:03,Mohonk,9.307,10.54,91.9,0.86,0.56,101.4,0.05,66,718.3,MHK,8,NA,NA,NA,NA,41.766,-74.158,379,2026-07-29
7/29/2026,13:57:17,Mohonk,9.341,10.35,90.3,0.76,0.57,101.2,0.05,66,718.4,MHK,8.25,NA,NA,NA,NA,41.766,-74.158,379,2026-07-29
