Date,Time,Site_Name,temp_degC,doConcentration_mgpL,doSaturation_percent,chlorophyll_RFU,phycocyaninBGA_RFU_14C102008,specificConductivity_uSpcm,salinity_psu,tds_mgpL,barometerAirHandheld_mbars,lakeID,Depth_m,turbidity_Fnu,orp_MV,waterPressure_barA,pH,latitude,longitude,altitude_m,date
7/8/2026,10:17:25,Mohonk,23.286,8.23,96.5,0.05,-0.56,97.9,0.05,64,730.3,MHK,0,NA,NA,NA,NA,41.766,-74.158,379,2026-07-08
7/8/2026,10:17:54,Mohonk,23.288,8.18,95.9,0.03,-0.56,97.9,0.05,64,730.3,MHK,0.25,NA,NA,NA,NA,41.766,-74.158,379,2026-07-08
7/8/2026,10:18:19,Mohonk,23.182,8.17,95.6,0.07,-0.52,98,0.05,64,730.3,MHK,0.5,NA,NA,NA,NA,41.766,-74.158,379,2026-07-08
7/8/2026,10:18:46,Mohonk,23.099,8.18,95.5,0.05,-0.55,97.6,0.04,63,730.3,MHK,0.75,NA,NA,NA,NA,41.766,-74.158,379,2026-07-08
7/8/2026,10:20:39,Mohonk,23.016,8.13,94.8,0.06,-0.57,97.7,0.04,64,730.3,MHK,1,NA,NA,NA,NA,41.766,-74.158,379,2026-07-08
7/8/2026,10:21:12,Mohonk,23.007,8.11,94.6,0.08,-0.53,97.8,0.05,64,730.3,MHK,1.25,NA,NA,NA,NA,41.766,-74.158,379,2026-07-08
7/8/2026,10:21:52,Mohonk,22.993,8.07,94.1,0.08,-0.54,97.9,0.05,64,730.4,MHK,1.5,NA,NA,NA,NA,41.766,-74.158,379,2026-07-08
7/8/2026,10:22:20,Mohonk,22.987,8.07,94.1,0.08,-0.5,98,0.05,64,730.4,MHK,1.75,NA,NA,NA,NA,41.766,-74.158,379,2026-07-08
7/8/2026,10:22:47,Mohonk,22.978,8.04,93.7,0.05,-0.54,98,0.05,64,730.4,MHK,2,NA,NA,NA,NA,41.766,-74.158,379,2026-07-08
7/8/2026,10:23:15,Mohonk,22.965,7.97,92.9,0.05,-0.55,98.3,0.05,64,730.4,MHK,2.25,NA,NA,NA,NA,41.766,-74.158,379,2026-07-08
7/8/2026,10:23:42,Mohonk,22.931,7.93,92.4,0.06,-0.55,98.5,0.05,64,730.4,MHK,2.5,NA,NA,NA,NA,41.766,-74.158,379,2026-07-08
7/8/2026,10:24:26,Mohonk,22.91,7.96,92.6,0.07,-0.57,101.7,0.05,66,730.3,MHK,2.75,NA,NA,NA,NA,41.766,-74.158,379,2026-07-08
7/8/2026,10:25:04,Mohonk,22.888,8.15,94.9,0.08,-0.51,102.7,0.05,67,730.4,MHK,3,NA,NA,NA,NA,41.766,-74.158,379,2026-07-08
7/8/2026,10:25:33,Mohonk,22.538,8.65,100,0.14,-0.4,103.5,0.05,67,730.4,MHK,3.25,NA,NA,NA,NA,41.766,-74.158,379,2026-07-08
7/8/2026,10:26:07,Mohonk,21.395,9.05,102.4,0.14,-0.4,104.9,0.05,68,730.4,MHK,3.5,NA,NA,NA,NA,41.766,-74.158,379,2026-07-08
7/8/2026,10:26:38,Mohonk,20.502,9.72,108,0.2,-0.35,104.7,0.05,68,730.4,MHK,3.75,NA,NA,NA,NA,41.766,-74.158,379,2026-07-08
