Date,Time,Site_Name,temp_degC,doConcentration_mgpL,doSaturation_percent,chlorophyll_RFU,phycocyaninBGA_RFU_14C102008,specificConductivity_uSpcm,salinity_psu,tds_mgpL,barometerAirHandheld_mbars,lakeID,Depth_m,turbidity_Fnu,orp_MV,waterPressure_barA,latitude,longitude,altitude_m,date
4/22/2026,09:02:50,Mohonk,11.31,10.34,94.5,0.37,2.53,99.3,0.05,65,730.1,MHK,0,NA,NA,NA,41.766,-74.158,379,2026-04-22
4/22/2026,09:03:16,Mohonk,11.334,10.46,95.6,0.41,0.33,99.3,0.05,65,730.1,MHK,0.25,NA,NA,NA,41.766,-74.158,379,2026-04-22
4/22/2026,09:04:10,Mohonk,11.348,10.48,95.8,0.41,0.32,99.6,0.05,65,730.2,MHK,0.5,NA,NA,NA,41.766,-74.158,379,2026-04-22
4/22/2026,09:04:44,Mohonk,11.349,10.5,96,0.39,0.32,99.5,0.05,65,730.1,MHK,0.75,NA,NA,NA,41.766,-74.158,379,2026-04-22
4/22/2026,09:05:10,Mohonk,11.351,10.5,96,0.42,0.34,99.5,0.05,65,730.1,MHK,1,NA,NA,NA,41.766,-74.158,379,2026-04-22
4/22/2026,09:05:34,Mohonk,11.35,10.5,96,0.41,0.35,99.6,0.05,65,730.1,MHK,1.25,NA,NA,NA,41.766,-74.158,379,2026-04-22
4/22/2026,09:06:07,Mohonk,11.343,10.51,96.1,0.45,0.32,99.6,0.05,65,730.2,MHK,1.5,NA,NA,NA,41.766,-74.158,379,2026-04-22
4/22/2026,09:06:34,Mohonk,11.345,10.51,96,0.44,0.38,99.5,0.05,65,730.2,MHK,1.75,NA,NA,NA,41.766,-74.158,379,2026-04-22
4/22/2026,09:07:07,Mohonk,11.343,10.51,96.1,0.4,0.3,99.5,0.05,65,730.1,MHK,2,NA,NA,NA,41.766,-74.158,379,2026-04-22
4/22/2026,09:07:37,Mohonk,11.343,10.5,96,0.42,0.33,99.5,0.05,65,730.1,MHK,2.25,NA,NA,NA,41.766,-74.158,379,2026-04-22
4/22/2026,09:08:03,Mohonk,11.339,10.51,96,0.4,0.34,99.5,0.05,65,730.2,MHK,2.5,NA,NA,NA,41.766,-74.158,379,2026-04-22
4/22/2026,09:08:34,Mohonk,11.337,10.51,96,0.37,0.34,99.5,0.05,65,730.1,MHK,2.75,NA,NA,NA,41.766,-74.158,379,2026-04-22
4/22/2026,09:09:01,Mohonk,11.336,10.51,96,0.4,0.35,99.5,0.05,65,730.1,MHK,3,NA,NA,NA,41.766,-74.158,379,2026-04-22
4/22/2026,09:09:23,Mohonk,11.335,10.5,96,0.42,0.31,99.5,0.05,65,730.2,MHK,3.25,NA,NA,NA,41.766,-74.158,379,2026-04-22
4/22/2026,09:09:46,Mohonk,11.33,10.5,96,0.4,0.35,99.5,0.05,65,730.1,MHK,3.5,NA,NA,NA,41.766,-74.158,379,2026-04-22
4/22/2026,09:10:25,Mohonk,11.321,10.5,96,0.37,0.3,99.5,0.05,65,730.1,MHK,3.75,NA,NA,NA,41.766,-74.158,379,2026-04-22
4/22/2026,09:10:50,Mohonk,10.284,10.89,97.2,0.79,0.42,101.1,0.05,66,730,MHK,4,NA,NA,NA,41.766,-74.158,379,2026-04-22
4/22/2026,09:11:12,Mohonk,9.373,11.68,102,1.03,0.57,100.8,0.05,66,730.1,MHK,4.25,NA,NA,NA,41.766,-74.158,379,2026-04-22
4/22/2026,09:11:41,Mohonk,8.805,12.24,105.4,1.05,0.59,100.6,0.05,65,730.1,MHK,4.5,NA,NA,NA,41.766,-74.158,379,2026-04-22
4/22/2026,09:12:05,Mohonk,8.666,12.42,106.6,1.06,0.62,100.3,0.05,65,730.1,MHK,4.75,NA,NA,NA,41.766,-74.158,379,2026-04-22
