Date,Time,Site_Name,temp_degC,doConcentration_mgpL,doSaturation_percent,chlorophyll_RFU,phycocyaninBGA_RFU_14C102008,specificConductivity_uSpcm,salinity_psu,tds_mgpL,barometerAirHandheld_mbars,lakeID,Depth_m,turbidity_Fnu,orp_MV,waterPressure_barA,pH,latitude,longitude,altitude_m,date
4/29/2026,09:08:27,Mohonk,12.831,10.37,98.1,0.21,0.08,94,0.04,61,727,MHK,0,NA,NA,NA,NA,41.766,-74.158,379,2026-04-29
4/29/2026,09:08:58,Mohonk,12.841,10.4,98.3,0.17,0.1,94.1,0.04,61,726.9,MHK,0.25,NA,NA,NA,NA,41.766,-74.158,379,2026-04-29
4/29/2026,09:09:08,Mohonk,12.836,10.4,98.3,0.21,0.12,94.2,0.04,61,727,MHK,0.5,NA,NA,NA,NA,41.766,-74.158,379,2026-04-29
4/29/2026,09:09:36,Mohonk,12.818,10.4,98.3,0.27,0.14,94.4,0.04,61,726.9,MHK,0.75,NA,NA,NA,NA,41.766,-74.158,379,2026-04-29
4/29/2026,09:10:07,Mohonk,12.801,10.39,98.2,0.33,0.18,94.5,0.04,61,726.9,MHK,1,NA,NA,NA,NA,41.766,-74.158,379,2026-04-29
4/29/2026,09:10:32,Mohonk,12.779,10.39,98.1,0.33,0.16,96.2,0.04,62,726.9,MHK,1.25,NA,NA,NA,NA,41.766,-74.158,379,2026-04-29
4/29/2026,09:11:02,Mohonk,12.73,10.38,98,0.27,0.17,96.3,0.04,63,726.9,MHK,1.5,NA,NA,NA,NA,41.766,-74.158,379,2026-04-29
4/29/2026,09:11:28,Mohonk,12.692,10.4,98,0.29,0.18,96.2,0.04,63,727,MHK,1.75,NA,NA,NA,NA,41.766,-74.158,379,2026-04-29
4/29/2026,09:12:05,Mohonk,12.663,10.41,98.1,0.25,0.15,96.2,0.04,63,726.9,MHK,2,NA,NA,NA,NA,41.766,-74.158,379,2026-04-29
4/29/2026,09:12:34,Mohonk,12.657,10.42,98.1,0.21,0.14,96.2,0.04,63,726.9,MHK,2.25,NA,NA,NA,NA,41.766,-74.158,379,2026-04-29
4/29/2026,09:12:59,Mohonk,12.646,10.41,98,0.26,0.14,96.3,0.05,63,726.9,MHK,2.5,NA,NA,NA,NA,41.766,-74.158,379,2026-04-29
4/29/2026,09:13:30,Mohonk,12.641,10.4,97.9,0.24,0.18,96.4,0.05,63,726.9,MHK,2.75,NA,NA,NA,NA,41.766,-74.158,379,2026-04-29
4/29/2026,09:14:20,Mohonk,12.508,10.44,98,0.3,0.18,96.6,0.05,63,727,MHK,3,NA,NA,NA,NA,41.766,-74.158,379,2026-04-29
4/29/2026,09:15:15,Mohonk,11.413,10.8,98.9,0.91,0.37,97.3,0.05,63,726.9,MHK,3.25,NA,NA,NA,NA,41.766,-74.158,379,2026-04-29
4/29/2026,09:15:40,Mohonk,11.236,11.01,100.4,0.83,0.39,97,0.05,63,727,MHK,3.5,NA,NA,NA,NA,41.766,-74.158,379,2026-04-29
