Date,Time,Site_Name,temp_degC,doConcentration_mgpL,doSaturation_percent,chlorophyll_RFU,phycocyaninBGA_RFU_14C102008,specificConductivity_uSpcm,salinity_psu,tds_mgpL,barometerAirHandheld_mbars,lakeID,Depth_m,turbidity_Fnu,orp_MV,waterPressure_barA,latitude,longitude,altitude_m,date
4/1/2026,09:33:25,Mohonk,6.946,9.81,80.7,0.35,0.08,93.7,0.04,61,728.6,MHK,0,NA,NA,NA,41.766,-74.158,379,2026-04-01
4/1/2026,09:33:47,Mohonk,6.861,10.04,82.4,0.39,0.2,93.6,0.04,61,728.7,MHK,0.25,NA,NA,NA,41.766,-74.158,379,2026-04-01
4/1/2026,09:34:10,Mohonk,6.794,10.15,83.2,0.33,0.29,93.6,0.04,61,728.5,MHK,0.5,NA,NA,NA,41.766,-74.158,379,2026-04-01
4/1/2026,09:34:34,Mohonk,6.779,10.2,83.6,0.35,0.35,93.7,0.04,61,728.7,MHK,0.75,NA,NA,NA,41.766,-74.158,379,2026-04-01
4/1/2026,09:34:59,Mohonk,6.752,10.22,83.7,0.44,0.45,96.4,0.05,63,728.5,MHK,1,NA,NA,NA,41.766,-74.158,379,2026-04-01
4/1/2026,09:35:22,Mohonk,6.732,10.23,83.8,0.51,0.53,96.4,0.05,63,728.6,MHK,1.25,NA,NA,NA,41.766,-74.158,379,2026-04-01
4/1/2026,09:35:47,Mohonk,6.678,10.23,83.6,0.44,0.52,96.6,0.05,63,728.7,MHK,1.5,NA,NA,NA,41.766,-74.158,379,2026-04-01
4/1/2026,09:36:11,Mohonk,6.61,10.23,83.5,0.69,0.57,96.8,0.05,63,728.7,MHK,1.75,NA,NA,NA,41.766,-74.158,379,2026-04-01
4/1/2026,09:36:40,Mohonk,6.579,10.22,83.3,0.5,0.64,96.9,0.05,63,728.7,MHK,2,NA,NA,NA,41.766,-74.158,379,2026-04-01
4/1/2026,09:37:06,Mohonk,6.561,10.21,83.2,0.64,0.67,97,0.05,63,728.6,MHK,2.25,NA,NA,NA,41.766,-74.158,379,2026-04-01
4/1/2026,09:37:31,Mohonk,6.541,10.21,83.1,0.55,0.67,97.1,0.05,63,728.6,MHK,2.5,NA,NA,NA,41.766,-74.158,379,2026-04-01
4/1/2026,09:38:00,Mohonk,6.479,10.19,82.9,0.64,0.66,97.2,0.05,63,728.6,MHK,2.75,NA,NA,NA,41.766,-74.158,379,2026-04-01
4/1/2026,09:38:26,Mohonk,6.443,10.19,82.8,0.66,0.68,97.3,0.05,63,728.7,MHK,3,NA,NA,NA,41.766,-74.158,379,2026-04-01
4/1/2026,09:38:33,Mohonk,6.444,10.18,82.7,0.72,0.7,97.3,0.05,63,728.5,MHK,3.25,NA,NA,NA,41.766,-74.158,379,2026-04-01
4/1/2026,09:38:58,Mohonk,6.385,10.17,82.5,0.71,0.72,97.5,0.05,63,728.7,MHK,3.5,NA,NA,NA,41.766,-74.158,379,2026-04-01
4/1/2026,09:39:30,Mohonk,6.174,10.16,82,0.75,0.69,97.7,0.05,63,728.8,MHK,3.75,NA,NA,NA,41.766,-74.158,379,2026-04-01
4/1/2026,09:40:10,Mohonk,6.075,10.14,81.6,0.76,0.74,97.8,0.05,64,728.7,MHK,4,NA,NA,NA,41.766,-74.158,379,2026-04-01
4/1/2026,09:40:45,Mohonk,5.823,10.11,80.9,0.95,0.87,98.2,0.05,64,728.7,MHK,4.25,NA,NA,NA,41.766,-74.158,379,2026-04-01
4/1/2026,09:41:08,Mohonk,5.69,10.08,80.4,0.6,0.87,98.2,0.05,64,728.6,MHK,4.5,NA,NA,NA,41.766,-74.158,379,2026-04-01
4/1/2026,09:41:34,Mohonk,5.654,10.05,80.1,1.2,0.88,98.3,0.05,64,728.6,MHK,4.75,NA,NA,NA,41.766,-74.158,379,2026-04-01
4/1/2026,09:42:15,Mohonk,5.591,10.02,79.7,2.3,0.93,98.4,0.05,64,728.6,MHK,5,NA,NA,NA,41.766,-74.158,379,2026-04-01
4/1/2026,09:42:45,Mohonk,5.533,10,79.4,3.34,0.94,98.5,0.05,64,728.6,MHK,5.25,NA,NA,NA,41.766,-74.158,379,2026-04-01
4/1/2026,09:43:31,Mohonk,5.474,9.96,79,2.91,0.93,98.6,0.05,64,728.7,MHK,5.5,NA,NA,NA,41.766,-74.158,379,2026-04-01
4/1/2026,09:43:56,Mohonk,5.341,9.94,78.6,4.54,1.06,98.8,0.05,64,728.6,MHK,5.75,NA,NA,NA,41.766,-74.158,379,2026-04-01
4/1/2026,09:44:22,Mohonk,5.245,9.9,78.1,1.22,1.04,99,0.05,64,728.5,MHK,6,NA,NA,NA,41.766,-74.158,379,2026-04-01
4/1/2026,09:44:56,Mohonk,5.167,9.87,77.6,1.61,1.03,99,0.05,64,728.7,MHK,6.25,NA,NA,NA,41.766,-74.158,379,2026-04-01
4/1/2026,09:45:25,Mohonk,5.161,9.85,77.4,3.47,1.16,99,0.05,64,728.6,MHK,6.5,NA,NA,NA,41.766,-74.158,379,2026-04-01
4/1/2026,09:45:57,Mohonk,5.134,9.83,77.3,0.96,1.02,99.1,0.05,64,728.7,MHK,6.75,NA,NA,NA,41.766,-74.158,379,2026-04-01
4/1/2026,09:46:37,Mohonk,5.076,9.81,77,4.3,1.17,99.3,0.05,65,728.7,MHK,7,NA,NA,NA,41.766,-74.158,379,2026-04-01
4/1/2026,09:47:09,Mohonk,4.98,9.78,76.6,1.83,1.19,99.4,0.05,65,728.7,MHK,7.25,NA,NA,NA,41.766,-74.158,379,2026-04-01
4/1/2026,09:47:47,Mohonk,4.874,9.74,76,1.57,1.24,99.6,0.05,65,728.7,MHK,7.5,NA,NA,NA,41.766,-74.158,379,2026-04-01
4/1/2026,09:48:27,Mohonk,4.833,9.69,75.5,2.68,1.09,99.6,0.05,65,728.6,MHK,7.75,NA,NA,NA,41.766,-74.158,379,2026-04-01
4/1/2026,09:49:00,Mohonk,4.752,9.65,75.1,1.43,1.08,99.8,0.05,65,728.7,MHK,8,NA,NA,NA,41.766,-74.158,379,2026-04-01
4/1/2026,09:49:44,Mohonk,4.705,9.62,74.8,1.34,1.18,99.7,0.05,65,728.6,MHK,8.25,NA,NA,NA,41.766,-74.158,379,2026-04-01
4/1/2026,09:50:18,Mohonk,4.677,9.59,74.5,1.34,1.05,99.8,0.05,65,728.7,MHK,8.5,NA,NA,NA,41.766,-74.158,379,2026-04-01
4/1/2026,09:50:53,Mohonk,4.617,9.56,74.2,0.97,1.16,100,0.05,65,728.7,MHK,8.75,NA,NA,NA,41.766,-74.158,379,2026-04-01
4/1/2026,09:51:20,Mohonk,4.597,9.55,74,0.98,1.06,100,0.05,65,728.6,MHK,9,NA,NA,NA,41.766,-74.158,379,2026-04-01
4/1/2026,09:51:53,Mohonk,4.596,9.53,73.9,0.84,0.96,100,0.05,65,728.6,MHK,9.25,NA,NA,NA,41.766,-74.158,379,2026-04-01
4/1/2026,09:52:17,Mohonk,4.591,9.53,73.8,1.98,1.1,100,0.05,65,728.7,MHK,9.5,NA,NA,NA,41.766,-74.158,379,2026-04-01
4/1/2026,09:52:44,Mohonk,4.568,9.52,73.7,1.04,0.93,100.1,0.05,65,728.5,MHK,9.75,NA,NA,NA,41.766,-74.158,379,2026-04-01
