Date,Time,Site_Name,temp_degC,doConcentration_mgpL,doSaturation_percent,chlorophyll_RFU,phycocyaninBGA_RFU_14C102008,specificConductivity_uSpcm,salinity_psu,tds_mgpL,barometerAirHandheld_mbars,lakeID,Depth_m,turbidity_Fnu,orp_MV,waterPressure_barA,pH,latitude,longitude,altitude_m,date
5/11/2026,12:06:32,Mohonk,14.045,10.14,98.5,0.22,0.03,98.8,0.05,64,730.6,MHK,0,NA,NA,NA,NA,41.766,-74.158,379,2026-05-11
5/11/2026,12:07:18,Mohonk,13.814,10.26,99.2,0.28,0.09,98.6,0.05,64,730.4,MHK,0.25,NA,NA,NA,NA,41.766,-74.158,379,2026-05-11
5/11/2026,12:07:47,Mohonk,13.77,10.27,99.2,0.31,0.1,98.6,0.05,64,730.5,MHK,0.5,NA,NA,NA,NA,41.766,-74.158,379,2026-05-11
5/11/2026,12:08:14,Mohonk,13.658,10.27,98.9,0.39,0.17,98.7,0.05,64,730.5,MHK,0.75,NA,NA,NA,NA,41.766,-74.158,379,2026-05-11
5/11/2026,12:08:38,Mohonk,13.609,10.26,98.7,0.44,0.19,98.7,0.05,64,730.5,MHK,1,NA,NA,NA,NA,41.766,-74.158,379,2026-05-11
5/11/2026,12:09:14,Mohonk,13.569,10.25,98.5,0.47,0.23,98.7,0.05,64,730.6,MHK,1.25,NA,NA,NA,NA,41.766,-74.158,379,2026-05-11
5/11/2026,12:09:37,Mohonk,13.523,10.24,98.4,0.56,0.23,98.7,0.05,64,730.5,MHK,1.5,NA,NA,NA,NA,41.766,-74.158,379,2026-05-11
5/11/2026,12:10:02,Mohonk,13.444,10.27,98.4,0.48,0.3,98.8,0.05,64,730.6,MHK,1.75,NA,NA,NA,NA,41.766,-74.158,379,2026-05-11
5/11/2026,12:10:25,Mohonk,13.403,10.27,98.4,0.57,0.25,98.8,0.05,64,730.5,MHK,2,NA,NA,NA,NA,41.766,-74.158,379,2026-05-11
5/11/2026,12:10:59,Mohonk,13.379,10.26,98.2,0.51,0.28,98.8,0.05,64,730.5,MHK,2.25,NA,NA,NA,NA,41.766,-74.158,379,2026-05-11
5/11/2026,12:11:55,Mohonk,13.372,10.25,98.1,0.43,0.22,98.8,0.05,64,730.6,MHK,2.5,NA,NA,NA,NA,41.766,-74.158,379,2026-05-11
5/11/2026,12:12:21,Mohonk,13.349,10.25,98,0.51,0.23,98.9,0.05,64,730.4,MHK,2.75,NA,NA,NA,NA,41.766,-74.158,379,2026-05-11
5/11/2026,12:12:48,Mohonk,13.3,10.25,97.9,0.46,0.19,98.9,0.05,64,730.5,MHK,3,NA,NA,NA,NA,41.766,-74.158,379,2026-05-11
5/11/2026,12:13:13,Mohonk,13.292,10.25,97.9,0.5,0.26,98.9,0.05,64,730.5,MHK,3.25,NA,NA,NA,NA,41.766,-74.158,379,2026-05-11
5/11/2026,12:13:36,Mohonk,13.265,10.25,97.9,0.44,0.23,99,0.05,64,730.4,MHK,3.5,NA,NA,NA,NA,41.766,-74.158,379,2026-05-11
5/11/2026,12:14:02,Mohonk,13.219,10.24,97.7,0.62,0.29,99,0.05,64,730.6,MHK,3.75,NA,NA,NA,NA,41.766,-74.158,379,2026-05-11
5/11/2026,12:14:27,Mohonk,13.159,10.23,97.5,0.42,0.24,99.1,0.05,64,730.5,MHK,4,NA,NA,NA,NA,41.766,-74.158,379,2026-05-11
5/11/2026,12:14:53,Mohonk,13.125,10.25,97.6,0.34,0.21,99.1,0.05,64,730.5,MHK,4.25,NA,NA,NA,NA,41.766,-74.158,379,2026-05-11
5/11/2026,12:15:20,Mohonk,13.085,10.26,97.6,0.43,0.29,99.2,0.05,64,730.5,MHK,4.5,NA,NA,NA,NA,41.766,-74.158,379,2026-05-11
5/11/2026,12:15:44,Mohonk,12.09,10.53,98,0.49,0.28,101,0.05,66,730.5,MHK,4.75,NA,NA,NA,NA,41.766,-74.158,379,2026-05-11
5/11/2026,12:16:09,Mohonk,10.845,11.41,103.2,0.64,0.31,102.1,0.05,66,730.5,MHK,5,NA,NA,NA,NA,41.766,-74.158,379,2026-05-11
5/11/2026,12:16:36,Mohonk,9.714,12.13,106.8,0.8,0.39,101,0.05,66,730.6,MHK,5.25,NA,NA,NA,NA,41.766,-74.158,379,2026-05-11
5/11/2026,12:17:01,Mohonk,9.361,12.55,109.6,0.88,0.44,100.5,0.05,65,730.5,MHK,5.5,NA,NA,NA,NA,41.766,-74.158,379,2026-05-11
5/11/2026,12:17:24,Mohonk,8.935,12.72,109.9,1.17,0.5,100.5,0.05,65,730.6,MHK,5.75,NA,NA,NA,NA,41.766,-74.158,379,2026-05-11
5/11/2026,12:17:48,Mohonk,8.659,12.81,110,1.57,0.64,100.4,0.05,65,730.5,MHK,6,NA,NA,NA,NA,41.766,-74.158,379,2026-05-11
5/11/2026,12:18:14,Mohonk,8.307,12.79,108.8,1.77,0.73,100.5,0.05,65,730.5,MHK,6.25,NA,NA,NA,NA,41.766,-74.158,379,2026-05-11
5/11/2026,12:18:55,Mohonk,7.989,12.57,106.2,2.02,0.83,101.2,0.05,66,730.5,MHK,6.5,NA,NA,NA,NA,41.766,-74.158,379,2026-05-11
5/11/2026,12:19:20,Mohonk,7.577,12.44,104,2.23,0.91,101.6,0.05,66,730.4,MHK,6.75,NA,NA,NA,NA,41.766,-74.158,379,2026-05-11
