Date,Time,temp_degC,doConcentration_mgpL,doSaturation_percent,chlorophyll_RFU,phycocyaninBGA_RFU_14C102008,pH,specificConductivity_uSpcm,salinity_psu,tds_mgpL,barometerAirHandheld_mbars,lakeID,Depth_m,turbidity_Fnu,orp_MV,waterPressure_barA,latitude,longitude,altitude_m
2/20/2025,10:33:25,2.763,10.59,78.2,0.23,0.04,NA,100.3,0.05,65,725.9,MHK,9.75,NA,NA,NA,41.766,−74.158,379
2/20/2025,10:33:50,2.892,10.38,76.9,0.24,-0.01,NA,100.4,0.05,65,725.9,MHK,10,NA,NA,NA,41.766,−74.158,379
2/20/2025,10:34:11,2.926,10.18,75.5,0.65,0.12,NA,100.8,0.05,66,726,MHK,10.25,NA,NA,NA,41.766,−74.158,379
2/20/2025,10:34:33,2.999,9.98,74.1,0.29,-0.03,NA,101.2,0.05,66,726,MHK,10.5,NA,NA,NA,41.766,−74.158,379
2/20/2025,10:34:56,3.031,9.8,72.9,0.24,-0.07,NA,101.4,0.05,66,725.9,MHK,10.75,NA,NA,NA,41.766,−74.158,379
2/20/2025,10:35:19,3.109,9.67,72,0.25,0.06,NA,101.3,0.05,66,725.9,MHK,11,NA,NA,NA,41.766,−74.158,379
2/20/2025,10:35:40,3.182,9.57,71.4,0.67,-0.01,NA,100.8,0.05,66,725.9,MHK,11.25,NA,NA,NA,41.766,−74.158,379
2/20/2025,10:36:04,3.225,9.48,70.9,0.32,-0.03,NA,100.6,0.05,65,725.9,MHK,11.5,NA,NA,NA,41.766,−74.158,379
2/20/2025,10:36:28,3.319,9.38,70.3,0.26,-0.09,NA,100,0.05,65,725.9,MHK,11.75,NA,NA,NA,41.766,−74.158,379
2/20/2025,10:36:51,3.398,9.17,68.9,0.69,0.02,NA,99.3,0.05,65,725.8,MHK,12,NA,NA,NA,41.766,−74.158,379
