Date,Time,temp_degC,doConcentration_mgpL,doSaturation_percent,chlorophyll_RFU,phycocyaninBGA_RFU_14C102008,pH,specificConductivity_uSpcm,salinity_psu,tds_mgpL,barometerAirHandheld_mbars,lakeID,Depth_m,turbidity_Fnu,orp_MV,waterPressure_barA,latitude,longitude,altitude_m
7/2/2024,11:53:09,22.98,9.08,105.8,0.16,-0.4,7.79,91.5,0.04,59,735.8,MHK,NA,NA,NA,NA,41.766,−74.158,379
7/2/2024,11:53:59,22.973,8.98,104.7,0.17,-0.38,7.77,91.2,0.04,59,735.7,MHK,NA,NA,NA,NA,41.766,−74.158,379
7/2/2024,11:54:50,22.813,8.94,103.9,0.21,-0.36,7.76,91,0.04,59,735.7,MHK,NA,NA,NA,NA,41.766,−74.158,379
7/2/2024,11:56:32,22.705,8.93,103.6,0.23,-0.36,7.75,90.9,0.04,59,735.7,MHK,NA,NA,NA,NA,41.766,−74.158,379
7/2/2024,11:57:08,22.65,8.92,103.3,0.3,-0.33,7.75,90.9,0.04,59,735.7,MHK,NA,NA,NA,NA,41.766,−74.158,379
7/2/2024,11:57:35,22.603,8.92,103.2,0.28,-0.34,7.75,90.9,0.04,59,735.7,MHK,NA,NA,NA,NA,41.766,−74.158,379
7/2/2024,11:58:13,22.571,8.92,103.2,0.28,-0.32,7.76,90.9,0.04,59,735.6,MHK,NA,NA,NA,NA,41.766,−74.158,379
7/2/2024,11:58:44,22.489,8.94,103.3,0.26,-0.33,7.76,90.9,0.04,59,735.7,MHK,NA,NA,NA,NA,41.766,−74.158,379
7/2/2024,11:59:29,22.478,8.95,103.3,0.22,-0.35,7.77,90.8,0.04,59,735.7,MHK,NA,NA,NA,NA,41.766,−74.158,379
7/2/2024,12:00:03,22.453,8.96,103.4,0.22,-0.34,7.77,90.8,0.04,59,735.7,MHK,NA,NA,NA,NA,41.766,−74.158,379
7/2/2024,12:00:43,22.422,8.96,103.3,0.27,-0.32,7.77,90.9,0.04,59,735.7,MHK,NA,NA,NA,NA,41.766,−74.158,379
7/2/2024,12:01:08,22.407,8.95,103.2,0.28,-0.33,7.77,90.8,0.04,59,735.7,MHK,NA,NA,NA,NA,41.766,−74.158,379
7/2/2024,12:01:35,22.398,8.93,102.9,0.33,-0.33,7.76,90.9,0.04,59,735.7,MHK,NA,NA,NA,NA,41.766,−74.158,379
7/2/2024,12:02:45,22.36,8.9,102.5,0.35,-0.34,7.73,90.9,0.04,59,735.7,MHK,NA,NA,NA,NA,41.766,−74.158,379
