Date,Time,temp_degC,doConcentration_mgpL,doSaturation_percent,chlorophyll_RFU,phycocyaninBGA_RFU_14C102008,specificConductivity_uSpcm,salinity_psu,tds_mgpL,barometerAirHandheld_mbars,lakeID,Depth_m,turbidity_Fnu,orp_MV,waterPressure_barA,latitude,longitude,altitude_m
9/24/2025,16:52:03,6.493,0.4,3.2,2.42,6.27,98.1,0.05,64,729.4,MHK,0,NA,NA,NA,41.766,−74.158,379
9/24/2025,16:51:38,6.524,0.41,3.4,0.9,2.38,90.1,0.04,59,729.4,MHK,0.25,NA,NA,NA,41.766,−74.158,379
9/24/2025,16:51:14,6.571,0.45,3.7,0.08,-0.61,89.2,0.04,58,729.4,MHK,0.5,NA,NA,NA,41.766,−74.158,379
9/24/2025,16:50:51,6.762,0.5,4.1,0.09,-0.63,87.2,0.04,57,729.5,MHK,0.75,NA,NA,NA,41.766,−74.158,379
9/24/2025,16:50:27,6.901,0.6,4.9,0.1,-0.64,85.7,0.04,56,729.4,MHK,1,NA,NA,NA,41.766,−74.158,379
9/24/2025,16:50:00,7.008,0.8,6.6,0.74,-0.56,84.8,0.04,55,729.4,MHK,1.25,NA,NA,NA,41.766,−74.158,379
9/24/2025,16:49:32,7.137,1.14,9.4,0.12,-0.62,84,0.04,55,729.4,MHK,1.5,NA,NA,NA,41.766,−74.158,379
9/24/2025,16:49:07,7.247,1.44,12,0.3,-0.55,83.8,0.04,54,729.4,MHK,1.75,NA,NA,NA,41.766,−74.158,379
9/24/2025,16:48:43,7.307,1.84,15.3,0.7,-0.44,83.6,0.04,54,729.4,MHK,2,NA,NA,NA,41.766,−74.158,379
9/24/2025,16:48:15,7.391,2.27,18.9,0.34,-0.52,83.4,0.04,54,729.4,MHK,2.25,NA,NA,NA,41.766,−74.158,379
9/24/2025,16:47:33,7.618,3.14,26.3,0.51,-0.41,82.9,0.04,54,729.4,MHK,2.5,NA,NA,NA,41.766,−74.158,379
9/24/2025,16:47:02,7.758,3.73,31.3,1.03,-0.11,82.8,0.04,54,729.4,MHK,2.75,NA,NA,NA,41.766,−74.158,379
9/24/2025,16:46:36,7.886,4.31,36.3,0.5,-0.51,82.5,0.04,54,729.4,MHK,3,NA,NA,NA,41.766,−74.158,379
9/24/2025,16:46:09,8.079,4.96,41.9,0.9,-0.3,82.2,0.04,53,729.5,MHK,3.25,NA,NA,NA,41.766,−74.158,379
9/24/2025,16:45:18,8.331,5.74,48.9,0.62,-0.39,82.1,0.04,53,729.5,MHK,3.5,NA,NA,NA,41.766,−74.158,379
9/24/2025,16:44:26,8.672,6.51,55.9,0.49,-0.53,81.6,0.04,53,729.5,MHK,3.75,NA,NA,NA,41.766,−74.158,379
