Date,Time,Site_Name,temp_degC,doConcentration_mgpL,doSaturation_percent,chlorophyll_RFU,phycocyaninBGA_RFU_14C102008,pH,specificConductivity_uSpcm,salinity_psu,tds_mgpL,barometerAirHandheld_mbars,lakeID,Depth_m,turbidity_Fnu,orp_MV,waterPressure_barA,latitude,longitude,altitude_m
7/2/2024,11:53:09,Mohonk,22.98,9.08,105.8,0.16,-0.4,7.79,91.5,0.04,59,735.8,MHK,0,NA,NA,NA,41.766,-74.158,379
7/2/2024,11:53:59,Mohonk,22.973,8.98,104.7,0.17,-0.38,7.77,91.2,0.04,59,735.7,MHK,0.25,NA,NA,NA,41.766,-74.158,379
7/2/2024,11:54:50,Mohonk,22.813,8.94,103.9,0.21,-0.36,7.76,91,0.04,59,735.7,MHK,0.5,NA,NA,NA,41.766,-74.158,379
7/2/2024,11:56:32,Mohonk,22.705,8.93,103.6,0.23,-0.36,7.75,90.9,0.04,59,735.7,MHK,0.75,NA,NA,NA,41.766,-74.158,379
7/2/2024,11:57:08,Mohonk,22.65,8.92,103.3,0.3,-0.33,7.75,90.9,0.04,59,735.7,MHK,1,NA,NA,NA,41.766,-74.158,379
7/2/2024,11:57:35,Mohonk,22.603,8.92,103.2,0.28,-0.34,7.75,90.9,0.04,59,735.7,MHK,1.25,NA,NA,NA,41.766,-74.158,379
7/2/2024,11:58:13,Mohonk,22.571,8.92,103.2,0.28,-0.32,7.76,90.9,0.04,59,735.6,MHK,1.5,NA,NA,NA,41.766,-74.158,379
7/2/2024,11:58:44,Mohonk,22.489,8.94,103.3,0.26,-0.33,7.76,90.9,0.04,59,735.7,MHK,1.75,NA,NA,NA,41.766,-74.158,379
7/2/2024,11:59:29,Mohonk,22.478,8.95,103.3,0.22,-0.35,7.77,90.8,0.04,59,735.7,MHK,2,NA,NA,NA,41.766,-74.158,379
7/2/2024,12:00:03,Mohonk,22.453,8.96,103.4,0.22,-0.34,7.77,90.8,0.04,59,735.7,MHK,2.25,NA,NA,NA,41.766,-74.158,379
7/2/2024,12:00:43,Mohonk,22.422,8.96,103.3,0.27,-0.32,7.77,90.9,0.04,59,735.7,MHK,2.5,NA,NA,NA,41.766,-74.158,379
7/2/2024,12:01:08,Mohonk,22.407,8.95,103.2,0.28,-0.33,7.77,90.8,0.04,59,735.7,MHK,2.75,NA,NA,NA,41.766,-74.158,379
7/2/2024,12:01:35,Mohonk,22.398,8.93,102.9,0.33,-0.33,7.76,90.9,0.04,59,735.7,MHK,3,NA,NA,NA,41.766,-74.158,379
7/2/2024,12:02:45,Mohonk,22.36,8.9,102.5,0.35,-0.34,7.73,90.9,0.04,59,735.7,MHK,3.25,NA,NA,NA,41.766,-74.158,379
7/2/2024,12:03:13,Mohonk,22.312,8.79,101.1,0.31,-0.28,7.68,91,0.04,59,735.7,MHK,3.5,NA,NA,NA,41.766,-74.158,379
7/2/2024,12:03:48,Mohonk,22.28,8.75,100.6,0.32,-0.32,7.64,91,0.04,59,735.7,MHK,3.75,NA,NA,NA,41.766,-74.158,379
7/2/2024,12:04:14,Mohonk,20.917,9.59,107.5,0.33,-0.27,7.58,91.7,0.04,60,735.7,MHK,4,NA,NA,NA,41.766,-74.158,379
7/2/2024,12:04:41,Mohonk,19.798,10.69,117.2,0.52,-0.17,7.53,91.9,0.04,60,735.7,MHK,4.25,NA,NA,NA,41.766,-74.158,379
7/2/2024,12:05:09,Mohonk,18.686,11.7,125.4,0.44,-0.22,7.56,91.3,0.04,59,735.7,MHK,4.5,NA,NA,NA,41.766,-74.158,379
7/2/2024,12:05:39,Mohonk,17.684,12.16,127.6,0.37,-0.17,7.6,91.6,0.04,60,735.7,MHK,4.75,NA,NA,NA,41.766,-74.158,379
7/2/2024,12:06:21,Mohonk,16.044,12.32,124.9,0.4,-0.14,7.58,91.7,0.04,60,735.7,MHK,5,NA,NA,NA,41.766,-74.158,379
7/2/2024,12:06:51,Mohonk,15.057,12.28,122,0.36,-0.14,7.5,92,0.04,60,735.7,MHK,5.25,NA,NA,NA,41.766,-74.158,379
7/2/2024,12:07:14,Mohonk,14.189,12.36,120.5,0.44,-0.05,7.47,91.7,0.04,60,735.7,MHK,5.5,NA,NA,NA,41.766,-74.158,379
7/2/2024,12:07:35,Mohonk,13.055,12.54,119.3,0.38,-0.07,7.47,91.9,0.04,60,735.7,MHK,5.75,NA,NA,NA,41.766,-74.158,379
7/2/2024,12:07:58,Mohonk,12.352,12.84,120.2,0.5,0.01,7.5,91.3,0.04,59,735.7,MHK,6,NA,NA,NA,41.766,-74.158,379
7/2/2024,12:08:39,Mohonk,10.862,13.07,118.1,0.45,0.02,7.52,90.5,0.04,59,735.7,MHK,6.25,NA,NA,NA,41.766,-74.158,379
7/2/2024,12:09:15,Mohonk,10.562,13.08,117.5,0.41,0.08,7.5,90.8,0.04,59,735.7,MHK,6.5,NA,NA,NA,41.766,-74.158,379
7/2/2024,12:09:39,Mohonk,10.045,13.02,115.5,0.41,0.17,7.49,90.5,0.04,59,735.7,MHK,6.75,NA,NA,NA,41.766,-74.158,379
7/2/2024,12:10:02,Mohonk,9.379,12.93,112.9,0.45,0.16,7.46,90.6,0.04,59,735.7,MHK,7,NA,NA,NA,41.766,-74.158,379
7/2/2024,12:10:34,Mohonk,8.786,12.68,109.2,0.46,0.17,7.4,91.3,0.04,59,735.7,MHK,7.25,NA,NA,NA,41.766,-74.158,379
7/2/2024,12:11:05,Mohonk,8.529,12.47,106.7,0.42,0.19,7.35,90.9,0.04,59,735.7,MHK,7.5,NA,NA,NA,41.766,-74.158,379
7/2/2024,12:11:35,Mohonk,8.214,12.35,104.8,0.42,0.18,7.32,90.8,0.04,59,735.7,MHK,7.75,NA,NA,NA,41.766,-74.158,379
7/2/2024,12:12:02,Mohonk,7.817,12.12,101.9,0.4,0.17,7.27,91,0.04,59,735.7,MHK,8,NA,NA,NA,41.766,-74.158,379
7/2/2024,12:12:28,Mohonk,7.489,11.86,98.9,0.39,0.2,7.21,91,0.04,59,735.7,MHK,8.25,NA,NA,NA,41.766,-74.158,379
7/2/2024,12:12:56,Mohonk,7.2,11.5,95.3,0.34,0.22,7.16,91.5,0.04,59,735.7,MHK,8.5,NA,NA,NA,41.766,-74.158,379
7/2/2024,12:13:19,Mohonk,7.073,11.07,91.4,0.36,0.25,7.1,91.3,0.04,59,735.7,MHK,8.75,NA,NA,NA,41.766,-74.158,379
7/2/2024,12:13:44,Mohonk,6.877,10.7,87.9,0.26,0.2,7.03,91.5,0.04,59,735.7,MHK,9,NA,NA,NA,41.766,-74.158,379
7/2/2024,12:14:06,Mohonk,6.732,9.51,77.8,0.24,0.2,6.95,92,0.04,60,735.7,MHK,9.25,NA,NA,NA,41.766,-74.158,379
7/2/2024,12:14:31,Mohonk,6.599,8.41,68.6,0.2,0.19,6.84,92.4,0.04,60,735.7,MHK,9.5,NA,NA,NA,41.766,-74.158,379
7/2/2024,12:15:09,Mohonk,6.375,7.26,58.9,0.17,0.18,6.72,93,0.04,60,735.7,MHK,9.75,NA,NA,NA,41.766,-74.158,379
