Date,Time,temp_degC,doConcentration_mgpL,doSaturation_percent,chlorophyll_RFU,phycocyaninBGA_RFU_14C102008,specificConductivity_uSpcm,salinity_psu,tds_mgpL,barometerAirHandheld_mbars,lakeID,Depth_m,turbidity_Fnu,orp_MV,waterPressure_barA,latitude,longitude,altitude_m
7/16/2025,10:40:05,6.115,1.44,11.6,0.12,-0.29,85.2,0.04,55,730,MHK,0,NA,NA,NA,41.766,−74.158,379
7/16/2025,10:39:39,6.142,1.93,15.6,0.16,-0.29,84.6,0.04,55,730,MHK,0.25,NA,NA,NA,41.766,−74.158,379
7/16/2025,10:39:13,6.145,2.45,19.8,0.17,-0.2,84.1,0.04,55,730,MHK,0.5,NA,NA,NA,41.766,−74.158,379
7/16/2025,10:38:47,6.153,3.09,24.9,0.3,-0.21,83.5,0.04,54,730.1,MHK,0.75,NA,NA,NA,41.766,−74.158,379
7/16/2025,10:38:23,6.183,3.72,30,0.42,-0.2,82.7,0.04,54,730,MHK,1,NA,NA,NA,41.766,−74.158,379
7/16/2025,10:38:01,6.215,4.14,33.4,0.52,-0.09,82.5,0.04,54,730,MHK,1.25,NA,NA,NA,41.766,−74.158,379
7/16/2025,10:37:25,6.287,4.91,39.8,0.58,-0.11,82.1,0.04,53,730.1,MHK,1.5,NA,NA,NA,41.766,−74.158,379
7/16/2025,10:36:42,6.466,5.96,48.5,0.93,-0.03,81.8,0.04,53,730.1,MHK,1.75,NA,NA,NA,41.766,−74.158,379
7/16/2025,10:36:18,6.603,6.83,55.7,0.92,0.01,81.6,0.04,53,730,MHK,2,NA,NA,NA,41.766,−74.158,379
7/16/2025,10:35:54,6.763,7.81,64,1.73,0.29,81.3,0.04,53,730,MHK,2.25,NA,NA,NA,41.766,−74.158,379
7/16/2025,10:35:26,6.967,8.94,73.6,0.9,0.24,80.9,0.04,53,730,MHK,2.5,NA,NA,NA,41.766,−74.158,379
7/16/2025,10:34:33,7.124,9.9,81.8,1.61,0.47,80.7,0.04,52,730.1,MHK,2.75,NA,NA,NA,41.766,−74.158,379
7/16/2025,10:33:56,7.39,11.18,93,1.2,0.39,80.6,0.04,52,730.1,MHK,3,NA,NA,NA,41.766,−74.158,379
7/16/2025,10:33:45,7.478,11.35,94.7,0.86,0.45,80.6,0.04,52,730,MHK,3.25,NA,NA,NA,41.766,−74.158,379
7/16/2025,10:33:24,7.702,11.69,98,1.6,0.18,80.6,0.04,52,730,MHK,3.5,NA,NA,NA,41.766,−74.158,379
7/16/2025,10:32:46,7.917,12.01,101.2,2.43,-0.01,80.6,0.04,52,730,MHK,3.75,NA,NA,NA,41.766,−74.158,379
7/16/2025,10:32:11,8.299,12.33,104.9,0.73,-0.19,80.6,0.04,52,730,MHK,4,NA,NA,NA,41.766,−74.158,379
7/16/2025,10:31:34,8.543,12.62,108,0.36,-0.09,80.5,0.04,52,730,MHK,4.25,NA,NA,NA,41.766,−74.158,379
7/16/2025,10:30:55,9.023,12.89,111.6,0.66,-0.26,80.5,0.04,52,730,MHK,4.5,NA,NA,NA,41.766,−74.158,379
7/16/2025,10:30:07,9.363,12.91,112.7,0.82,-0.26,80.7,0.04,52,730,MHK,4.75,NA,NA,NA,41.766,−74.158,379
7/16/2025,10:29:33,9.954,12.9,114.2,0.67,-0.33,80.4,0.04,52,730,MHK,5,NA,NA,NA,41.766,−74.158,379
7/16/2025,10:29:13,10.029,12.96,114.9,0.54,-0.37,80.5,0.04,52,730,MHK,5.25,NA,NA,NA,41.766,−74.158,379
7/16/2025,10:28:31,10.648,13.04,117.3,0.77,-0.42,80.8,0.04,52,730,MHK,5.5,NA,NA,NA,41.766,−74.158,379
7/16/2025,10:27:55,11.354,13.04,119.2,0.43,-0.5,80.5,0.04,52,730,MHK,5.75,NA,NA,NA,41.766,−74.158,379
7/16/2025,10:27:29,11.79,13.12,121.2,0.65,-0.5,80.7,0.04,52,730,MHK,6,NA,NA,NA,41.766,−74.158,379
7/16/2025,10:27:00,12.27,13.21,123.3,0.55,-0.55,80.7,0.04,52,730,MHK,6.25,NA,NA,NA,41.766,−74.158,379
7/16/2025,10:26:28,12.855,13.01,123.1,0.44,-0.56,80.7,0.04,52,730,MHK,6.5,NA,NA,NA,41.766,−74.158,379
7/16/2025,10:25:35,14.611,12.15,119.6,0.54,-0.66,81.8,0.04,53,730,MHK,6.75,NA,NA,NA,41.766,−74.158,379
7/16/2025,10:25:26,15.508,11.95,119.9,0.48,-0.71,80.9,0.04,53,729.9,MHK,7,NA,NA,NA,41.766,−74.158,379
7/16/2025,10:25:02,16.396,11.75,120.1,0.49,-0.72,80.1,0.04,52,729.9,MHK,7.25,NA,NA,NA,41.766,−74.158,379
7/16/2025,10:24:29,17.289,11.36,118.3,0.41,-0.75,79.9,0.04,52,730,MHK,7.5,NA,NA,NA,41.766,−74.158,379
7/16/2025,10:23:48,19.9,10.98,120.5,0.37,-0.86,77.9,0.04,51,730,MHK,7.75,NA,NA,NA,41.766,−74.158,379
7/16/2025,10:23:21,20.806,10.66,119.1,0.39,-0.87,77.4,0.04,50,730,MHK,8,NA,NA,NA,41.766,−74.158,379
7/16/2025,10:22:55,22.204,10.08,115.8,0.33,-0.95,76.4,0.03,50,730,MHK,8.25,NA,NA,NA,41.766,−74.158,379
7/16/2025,10:22:31,23.199,9.47,110.9,0.34,-0.95,75.5,0.03,49,730,MHK,8.5,NA,NA,NA,41.766,−74.158,379
7/16/2025,10:21:39,24.414,8.57,102.6,0.31,-1.03,75.2,0.03,49,729.9,MHK,8.75,NA,NA,NA,41.766,−74.158,379
7/16/2025,10:21:06,25.681,8.19,100.3,0.25,-1.06,73.8,0.03,48,730,MHK,9,NA,NA,NA,41.766,−74.158,379
7/16/2025,10:20:37,25.828,8.22,101,0.24,-1.08,73.8,0.03,48,730,MHK,9.25,NA,NA,NA,41.766,−74.158,379
7/16/2025,10:20:12,25.998,8.08,99.6,0.24,-1.09,74.1,0.03,48,730,MHK,9.5,NA,NA,NA,41.766,−74.158,379
7/16/2025,10:19:40,26.24,7.91,97.9,0.21,-1.11,74.2,0.03,48,730,MHK,9.75,NA,NA,NA,41.766,−74.158,379
7/16/2025,10:19:10,26.328,8,99.2,0.22,-1.09,74.1,0.03,48,730,MHK,10,NA,NA,NA,41.766,−74.158,379
7/16/2025,10:18:25,26.439,8.23,102.2,0.18,-1.12,73.9,0.03,48,729.9,MHK,10.25,NA,NA,NA,41.766,−74.158,379
7/16/2025,10:17:54,26.515,8.19,101.8,0.23,-1.12,73.9,0.03,48,730,MHK,10.5,NA,NA,NA,41.766,−74.158,379
7/16/2025,10:17:23,26.602,8.19,102.1,0.19,-1.11,74,0.03,48,729.9,MHK,10.75,NA,NA,NA,41.766,−74.158,379
7/16/2025,10:17:05,26.648,8.2,102.3,0.17,-1.13,74,0.03,48,730,MHK,11,NA,NA,NA,41.766,−74.158,379
7/16/2025,10:16:26,26.837,8.18,102.4,0.22,-1.11,74.1,0.03,48,730,MHK,11.25,NA,NA,NA,41.766,−74.158,379
7/16/2025,10:16:02,27.011,8.15,102.3,0.12,-1.13,74.1,0.03,48,729.9,MHK,11.5,NA,NA,NA,41.766,−74.158,379
7/16/2025,10:15:38,27.069,8.16,102.6,0.11,-1.18,74.1,0.03,48,730,MHK,11.75,NA,NA,NA,41.766,−74.158,379
