Date,Time,Site_Name,temp_degC,doConcentration_mgpL,doSaturation_percent,chlorophyll_RFU,phycocyaninBGA_RFU_14C102008,pH,specificConductivity_uSpcm,salinity_psu,tds_mgpL,barometerAirHandheld_mbars,lakeID,Depth_m,turbidity_Fnu,orp_MV,waterPressure_barA,latitude,longitude,altitude_m
12/18/2024,11:14:49,Mohonk,3.831,10.4,79,1.03,1.47,NA,96,0.04,62,733,MHK,12,NA,NA,NA,41.766,-74.158,379
12/18/2024,11:14:29,Mohonk,3.827,10.46,79.4,0.18,-0.04,NA,95.9,0.04,62,733,MHK,11.75,NA,NA,NA,41.766,-74.158,379
12/18/2024,11:14:06,Mohonk,3.829,10.46,79.5,0.19,-0.03,NA,95.9,0.04,62,733,MHK,11.5,NA,NA,NA,41.766,-74.158,379
12/18/2024,11:13:43,Mohonk,3.83,10.47,79.5,0.16,-0.05,NA,95.9,0.04,62,733,MHK,11.25,NA,NA,NA,41.766,-74.158,379
12/18/2024,11:13:15,Mohonk,3.83,10.47,79.5,0.13,-0.03,NA,95.8,0.04,62,733,MHK,11,NA,NA,NA,41.766,-74.158,379
12/18/2024,11:12:53,Mohonk,3.83,10.47,79.5,0.32,0.06,NA,95.8,0.04,62,733,MHK,10.75,NA,NA,NA,41.766,-74.158,379
12/18/2024,11:12:30,Mohonk,3.831,10.47,79.5,0.24,0.01,NA,95.8,0.04,62,733,MHK,10.5,NA,NA,NA,41.766,-74.158,379
12/18/2024,11:12:06,Mohonk,3.837,10.48,79.6,0.19,-0.02,NA,95.6,0.04,62,733,MHK,10.25,NA,NA,NA,41.766,-74.158,379
12/18/2024,11:11:41,Mohonk,3.833,10.49,79.7,0.2,0,NA,95.6,0.04,62,733,MHK,10,NA,NA,NA,41.766,-74.158,379
12/18/2024,11:11:16,Mohonk,3.831,10.49,79.7,0.61,0.07,NA,95.7,0.04,62,733,MHK,9.75,NA,NA,NA,41.766,-74.158,379
12/18/2024,11:10:48,Mohonk,3.83,10.5,79.8,0.36,0.04,NA,95.6,0.04,62,733.1,MHK,9.5,NA,NA,NA,41.766,-74.158,379
12/18/2024,11:10:23,Mohonk,3.829,10.51,79.8,0.19,0.03,NA,95.6,0.04,62,733.1,MHK,9.25,NA,NA,NA,41.766,-74.158,379
12/18/2024,11:09:59,Mohonk,3.83,10.51,79.8,0.22,0,NA,95.6,0.04,62,733.2,MHK,9,NA,NA,NA,41.766,-74.158,379
12/18/2024,11:09:31,Mohonk,3.835,10.51,79.8,0.14,-0.02,NA,95.5,0.04,62,733.1,MHK,8.75,NA,NA,NA,41.766,-74.158,379
12/18/2024,11:09:03,Mohonk,3.839,10.5,79.7,0.2,-0.01,NA,95.3,0.04,62,733.2,MHK,8.5,NA,NA,NA,41.766,-74.158,379
12/18/2024,11:08:39,Mohonk,3.844,10.48,79.6,0.33,0.05,NA,95.1,0.04,62,733.3,MHK,8.25,NA,NA,NA,41.766,-74.158,379
12/18/2024,11:08:09,Mohonk,3.852,10.49,79.7,0.14,-0.01,NA,95,0.04,62,733.2,MHK,8,NA,NA,NA,41.766,-74.158,379
12/18/2024,11:07:42,Mohonk,3.847,10.51,79.9,0.15,0.01,NA,94.9,0.04,62,733.3,MHK,7.75,NA,NA,NA,41.766,-74.158,379
