Date,Time,Site_Name,temp_degC,doConcentration_mgpL,doSaturation_percent,chlorophyll_RFU,phycocyaninBGA_RFU_14C102008,pH,specificConductivity_uSpcm,salinity_psu,tds_mgpL,barometerAirHandheld_mbars,lakeID,Depth_m,turbidity_Fnu,orp_MV,waterPressure_barA,latitude,longitude,altitude_m
12/4/2024,11:04:05,Mohonk,5.032,8.79,68.9,1.75,2.84,NA,94.8,0.04,62,730.9,MHK,12,NA,NA,NA,41.766,-74.158,379
12/4/2024,11:03:39,Mohonk,5.017,8.96,70.2,0.72,0.41,NA,94.6,0.04,61,730.9,MHK,11.75,NA,NA,NA,41.766,-74.158,379
12/4/2024,11:03:14,Mohonk,5.014,8.97,70.3,0.31,0,NA,94.6,0.04,61,730.9,MHK,11.5,NA,NA,NA,41.766,-74.158,379
12/4/2024,11:02:47,Mohonk,5.013,8.98,70.3,0.3,0.02,NA,94.7,0.04,62,730.9,MHK,11.25,NA,NA,NA,41.766,-74.158,379
12/4/2024,11:02:22,Mohonk,5.013,8.98,70.4,0.31,0.02,NA,94.7,0.04,62,731,MHK,11,NA,NA,NA,41.766,-74.158,379
12/4/2024,11:01:57,Mohonk,5.011,8.99,70.4,0.41,0.03,NA,94.7,0.04,62,730.9,MHK,10.75,NA,NA,NA,41.766,-74.158,379
12/4/2024,11:01:32,Mohonk,5.015,8.99,70.4,0.27,0.02,NA,94.6,0.04,61,731,MHK,10.5,NA,NA,NA,41.766,-74.158,379
12/4/2024,11:01:07,Mohonk,5.01,9,70.5,0.29,0.01,NA,94.6,0.04,62,731,MHK,10.25,NA,NA,NA,41.766,-74.158,379
12/4/2024,11:00:35,Mohonk,5.013,8.99,70.5,0.34,-0.01,NA,94.6,0.04,62,731,MHK,10,NA,NA,NA,41.766,-74.158,379
12/4/2024,11:00:12,Mohonk,5.027,9,70.5,0.33,0.03,NA,94.7,0.04,62,731.1,MHK,9.75,NA,NA,NA,41.766,-74.158,379
12/4/2024,10:59:46,Mohonk,5.034,9.01,70.6,0.47,0.09,NA,94.7,0.04,62,731.1,MHK,9.5,NA,NA,NA,41.766,-74.158,379
12/4/2024,10:59:24,Mohonk,5.032,9.03,70.8,0.3,0.01,NA,94.6,0.04,61,731,MHK,9.25,NA,NA,NA,41.766,-74.158,379
12/4/2024,10:58:57,Mohonk,5.025,9.05,70.9,0.56,0.11,NA,94.6,0.04,61,731.1,MHK,9,NA,NA,NA,41.766,-74.158,379
12/4/2024,10:58:28,Mohonk,5.032,9.07,71.1,0.33,0.02,NA,94.7,0.04,62,731.1,MHK,8.75,NA,NA,NA,41.766,-74.158,379
12/4/2024,10:57:59,Mohonk,5.029,9.08,71.2,0.3,0,NA,94.7,0.04,62,731.1,MHK,8.5,NA,NA,NA,41.766,-74.158,379
12/4/2024,10:57:29,Mohonk,5.03,9.09,71.3,0.36,0.04,NA,94.7,0.04,62,731.1,MHK,8.25,NA,NA,NA,41.766,-74.158,379
12/4/2024,10:56:58,Mohonk,5.029,9.09,71.3,0.35,0.02,NA,94.6,0.04,62,731,MHK,8,NA,NA,NA,41.766,-74.158,379
12/4/2024,10:56:29,Mohonk,5.035,9.09,71.3,0.39,0.07,NA,94.6,0.04,61,731,MHK,7.75,NA,NA,NA,41.766,-74.158,379
12/4/2024,10:56:04,Mohonk,5.034,9.1,71.3,0.43,0.09,NA,94.6,0.04,62,731.1,MHK,7.5,NA,NA,NA,41.766,-74.158,379
12/4/2024,10:55:42,Mohonk,5.034,9.1,71.4,0.46,0.11,NA,94.6,0.04,62,731.1,MHK,7.25,NA,NA,NA,41.766,-74.158,379
12/4/2024,10:55:12,Mohonk,5.033,9.11,71.4,0.29,0.08,NA,94.6,0.04,62,731.1,MHK,7,NA,NA,NA,41.766,-74.158,379
12/4/2024,10:54:43,Mohonk,5.039,9.12,71.5,0.38,0.02,NA,94.6,0.04,61,731.2,MHK,6.75,NA,NA,NA,41.766,-74.158,379
12/4/2024,10:54:09,Mohonk,5.037,9.13,71.6,0.42,0.04,NA,94.6,0.04,61,731.2,MHK,6.5,NA,NA,NA,41.766,-74.158,379
12/4/2024,10:53:44,Mohonk,5.036,9.14,71.6,0.5,0.05,NA,94.6,0.04,61,731.2,MHK,6.25,NA,NA,NA,41.766,-74.158,379
12/4/2024,10:53:19,Mohonk,5.043,9.15,71.7,0.41,0.17,NA,94.6,0.04,61,731.2,MHK,6,NA,NA,NA,41.766,-74.158,379
12/4/2024,10:52:55,Mohonk,5.052,9.15,71.8,0.32,0.08,NA,94.6,0.04,61,731.2,MHK,5.75,NA,NA,NA,41.766,-74.158,379
12/4/2024,10:52:30,Mohonk,5.05,9.16,71.8,0.37,0.08,NA,94.6,0.04,61,731.2,MHK,5.5,NA,NA,NA,41.766,-74.158,379
12/4/2024,10:51:59,Mohonk,5.067,9.17,71.9,0.29,0.02,NA,94.6,0.04,61,731.2,MHK,5.25,NA,NA,NA,41.766,-74.158,379
12/4/2024,10:51:29,Mohonk,5.055,9.17,71.9,0.3,0.05,NA,94.6,0.04,61,731.2,MHK,5,NA,NA,NA,41.766,-74.158,379
12/4/2024,10:50:53,Mohonk,5.049,9.18,72,0.31,0,NA,94.6,0.04,61,731.2,MHK,4.75,NA,NA,NA,41.766,-74.158,379
12/4/2024,10:49:59,Mohonk,5.055,9.21,72.3,0.37,0.03,NA,93.9,0.04,61,731.1,MHK,4.5,NA,NA,NA,41.766,-74.158,379
12/4/2024,10:49:30,Mohonk,5.059,9.21,72.3,0.24,0.04,NA,93.9,0.04,61,731.2,MHK,4.25,NA,NA,NA,41.766,-74.158,379
12/4/2024,10:48:56,Mohonk,5.052,9.23,72.4,0.32,0.03,NA,93.8,0.04,61,731.2,MHK,4,NA,NA,NA,41.766,-74.158,379
12/4/2024,10:48:28,Mohonk,5.052,9.24,72.4,0.31,0.08,NA,93.8,0.04,61,731.2,MHK,3.75,NA,NA,NA,41.766,-74.158,379
12/4/2024,10:48:00,Mohonk,5.051,9.25,72.5,0.34,0.08,NA,93.8,0.04,61,731.2,MHK,3.5,NA,NA,NA,41.766,-74.158,379
12/4/2024,10:47:34,Mohonk,5.052,9.26,72.6,0.48,0.02,NA,93.8,0.04,61,731.2,MHK,3.25,NA,NA,NA,41.766,-74.158,379
12/4/2024,10:47:09,Mohonk,5.051,9.28,72.8,0.35,0.02,NA,93.8,0.04,61,731.3,MHK,3,NA,NA,NA,41.766,-74.158,379
12/4/2024,10:46:44,Mohonk,5.054,9.3,72.9,0.31,0.05,NA,93.8,0.04,61,731.2,MHK,2.75,NA,NA,NA,41.766,-74.158,379
12/4/2024,10:46:17,Mohonk,5.063,9.32,73.1,0.28,0.03,NA,93.7,0.04,61,731.3,MHK,2.5,NA,NA,NA,41.766,-74.158,379
12/4/2024,10:45:51,Mohonk,5.065,9.34,73.3,0.33,0.05,NA,93.7,0.04,61,731.3,MHK,2.25,NA,NA,NA,41.766,-74.158,379
12/4/2024,10:45:16,Mohonk,5.055,9.37,73.5,0.42,0.05,NA,93.7,0.04,61,731.2,MHK,2,NA,NA,NA,41.766,-74.158,379
12/4/2024,10:44:46,Mohonk,5.061,9.4,73.7,0.47,0.07,NA,93.6,0.04,61,731.2,MHK,1.75,NA,NA,NA,41.766,-74.158,379
12/4/2024,10:44:23,Mohonk,5.067,9.43,74,0.32,0.02,NA,93.6,0.04,61,731.3,MHK,1.5,NA,NA,NA,41.766,-74.158,379
12/4/2024,10:42:53,Mohonk,5.075,9.62,75.5,0.19,-0.03,NA,93.5,0.04,61,731.3,MHK,1.25,NA,NA,NA,41.766,-74.158,379
12/4/2024,10:42:03,Mohonk,5.067,9.8,76.9,0.24,-0.02,NA,93.5,0.04,61,731.4,MHK,1,NA,NA,NA,41.766,-74.158,379
12/4/2024,10:41:35,Mohonk,5.07,9.97,78.2,0.23,-0.04,NA,93.4,0.04,61,731.3,MHK,0.75,NA,NA,NA,41.766,-74.158,379
12/4/2024,10:41:02,Mohonk,5.066,10.26,80.5,0.33,-0.06,NA,93.4,0.04,61,731.4,MHK,0.5,NA,NA,NA,41.766,-74.158,379
12/4/2024,10:40:35,Mohonk,5.053,10.69,83.8,0.22,-0.09,NA,93.4,0.04,61,731.3,MHK,0.25,NA,NA,NA,41.766,-74.158,379
12/4/2024,10:40:11,Mohonk,5.042,11.37,89.1,0.21,-0.11,NA,93.6,0.04,61,731.2,MHK,0,NA,NA,NA,41.766,-74.158,379
