Date,Time,temp_degC,doConcentration_mgpL,doSaturation_percent,chlorophyll_RFU,phycocyaninBGA_RFU_14C102008,specificConductivity_uSpcm,salinity_psu,tds_mgpL,barometerAirHandheld_mbars,lakeID,Depth_m,turbidity_Fnu,orp_MV,waterPressure_barA,latitude,longitude,altitude_m
8/6/2025,14:37:39,6.186,0.51,4.1,0.07,-0.48,86.8,0.04,56,739,MHK,0,NA,NA,NA,41.766,−74.158,379
8/6/2025,14:36:28,6.231,0.7,5.7,0.09,-0.44,85.7,0.04,56,738.9,MHK,0.25,NA,NA,NA,41.766,−74.158,379
8/6/2025,14:36:04,6.271,0.86,7,0.08,-0.49,85.6,0.04,56,739,MHK,0.5,NA,NA,NA,41.766,−74.158,379
8/6/2025,14:35:40,6.368,1.13,9.1,0.09,-0.48,85.5,0.04,56,738.9,MHK,0.75,NA,NA,NA,41.766,−74.158,379
8/6/2025,14:35:14,6.425,1.54,12.5,0.14,-0.44,84.8,0.04,55,739,MHK,1,NA,NA,NA,41.766,−74.158,379
8/6/2025,14:34:52,6.441,1.95,15.8,0.24,-0.17,84.2,0.04,55,739,MHK,1.25,NA,NA,NA,41.766,−74.158,379
8/6/2025,14:34:17,6.526,2.99,24.3,0.43,-0.25,83.2,0.04,54,739,MHK,1.5,NA,NA,NA,41.766,−74.158,379
8/6/2025,14:33:47,6.616,4.12,33.6,0.29,-0.3,82.6,0.04,54,739,MHK,1.75,NA,NA,NA,41.766,−74.158,379
8/6/2025,14:33:21,6.726,5.06,41.4,0.33,-0.33,82.3,0.04,53,739,MHK,2,NA,NA,NA,41.766,−74.158,379
8/6/2025,14:32:58,6.875,5.9,48.5,0.27,-0.37,82,0.04,53,739,MHK,2.25,NA,NA,NA,41.766,−74.158,379
8/6/2025,14:32:31,7.013,6.51,53.6,0.38,-0.38,81.9,0.04,53,739,MHK,2.5,NA,NA,NA,41.766,−74.158,379
8/6/2025,14:32:08,7.122,7.09,58.6,0.44,-0.39,82.1,0.04,53,739.1,MHK,2.75,NA,NA,NA,41.766,−74.158,379
8/6/2025,14:31:45,7.287,8.07,67,0.23,-0.47,82.2,0.04,53,739,MHK,3,NA,NA,NA,41.766,−74.158,379
8/6/2025,14:31:22,7.528,9.44,78.8,0.51,-0.42,81.5,0.04,53,739,MHK,3.25,NA,NA,NA,41.766,−74.158,379
8/6/2025,14:31:00,7.813,10.55,88.7,0.5,-0.39,80.9,0.04,53,739.1,MHK,3.5,NA,NA,NA,41.766,−74.158,379
8/6/2025,14:30:37,8.167,11.45,97.1,0.78,-0.39,80.7,0.04,52,739,MHK,3.75,NA,NA,NA,41.766,−74.158,379
8/6/2025,14:30:09,8.974,12.24,105.9,0.6,-0.38,80.4,0.04,52,739.1,MHK,4,NA,NA,NA,41.766,−74.158,379
8/6/2025,14:30:03,9.193,12.29,106.8,0.51,-0.4,80.4,0.04,52,739.2,MHK,4.25,NA,NA,NA,41.766,−74.158,379
8/6/2025,14:29:40,9.755,12.51,110.2,1.11,-0.18,80.7,0.04,52,739.2,MHK,4.5,NA,NA,NA,41.766,−74.158,379
8/6/2025,14:29:11,10.571,12.77,114.7,0.51,-0.53,80.3,0.04,52,739.1,MHK,4.75,NA,NA,NA,41.766,−74.158,379
8/6/2025,14:28:46,10.885,13,117.6,0.66,-0.46,80.4,0.04,52,739.2,MHK,5,NA,NA,NA,41.766,−74.158,379
8/6/2025,14:28:21,11.695,13.12,120.9,0.76,-0.34,79.9,0.04,52,739.1,MHK,5.25,NA,NA,NA,41.766,−74.158,379
8/6/2025,14:27:57,11.917,13.17,122.1,1.02,-0.42,80.2,0.04,52,739.1,MHK,5.5,NA,NA,NA,41.766,−74.158,379
8/6/2025,14:27:36,12.617,13.13,123.5,0.75,-0.51,80.8,0.04,53,739.1,MHK,5.75,NA,NA,NA,41.766,−74.158,379
8/6/2025,14:27:02,13.521,12.89,123.9,0.68,-0.51,80.7,0.04,52,739.1,MHK,6,NA,NA,NA,41.766,−74.158,379
8/6/2025,14:26:55,13.902,12.9,125,0.75,-0.49,80.6,0.04,52,739.2,MHK,6.25,NA,NA,NA,41.766,−74.158,379
8/6/2025,14:26:31,14.666,12.68,124.9,0.86,-0.43,80.6,0.04,52,739.1,MHK,6.5,NA,NA,NA,41.766,−74.158,379
8/6/2025,14:26:08,15.349,12.49,124.8,0.74,-0.63,80.7,0.04,52,739.2,MHK,6.75,NA,NA,NA,41.766,−74.158,379
8/6/2025,14:25:47,16.235,12.24,124.8,0.54,-0.71,80.9,0.04,53,739.3,MHK,7,NA,NA,NA,41.766,−74.158,379
8/6/2025,14:25:24,17.376,11.96,124.8,0.63,-0.68,80.6,0.04,52,739.2,MHK,7.25,NA,NA,NA,41.766,−74.158,379
8/6/2025,14:24:58,20.042,10.84,119.5,0.76,-0.68,77.8,0.04,51,739.3,MHK,7.5,NA,NA,NA,41.766,−74.158,379
8/6/2025,14:24:35,22.063,9.46,108.4,0.7,-0.8,74.4,0.03,48,739.2,MHK,7.75,NA,NA,NA,41.766,−74.158,379
8/6/2025,14:24:08,22.889,9.25,107.7,0.84,-0.76,73.7,0.03,48,739.1,MHK,8,NA,NA,NA,41.766,−74.158,379
8/6/2025,14:23:44,23.482,9.32,109.6,0.81,-0.84,73.3,0.03,48,739.2,MHK,8.25,NA,NA,NA,41.766,−74.158,379
8/6/2025,14:23:09,23.709,9.39,110.9,0.59,-0.93,73.4,0.03,48,739.1,MHK,8.5,NA,NA,NA,41.766,−74.158,379
8/6/2025,14:22:36,23.838,9.44,111.8,0.72,-0.88,73.3,0.03,48,739.2,MHK,8.75,NA,NA,NA,41.766,−74.158,379
8/6/2025,14:22:04,23.936,9.49,112.6,0.62,-0.92,73.3,0.03,48,739.2,MHK,9,NA,NA,NA,41.766,−74.158,379
8/6/2025,14:21:35,24.002,9.49,112.7,0.58,-0.97,73.4,0.03,48,739.2,MHK,9.25,NA,NA,NA,41.766,−74.158,379
8/6/2025,14:21:12,24.032,9.47,112.6,0.47,-0.98,73.4,0.03,48,739.2,MHK,9.5,NA,NA,NA,41.766,−74.158,379
8/6/2025,14:20:41,24.031,9.48,112.7,0.52,-0.97,73.4,0.03,48,739.2,MHK,9.75,NA,NA,NA,41.766,−74.158,379
8/6/2025,14:20:12,24.062,9.46,112.6,0.48,-1.01,73.4,0.03,48,739.1,MHK,10,NA,NA,NA,41.766,−74.158,379
8/6/2025,14:19:47,24.103,9.45,112.5,0.4,-1.03,73.4,0.03,48,739.1,MHK,10.25,NA,NA,NA,41.766,−74.158,379
8/6/2025,14:19:23,24.201,9.44,112.5,0.4,-1.04,73.4,0.03,48,739.2,MHK,10.5,NA,NA,NA,41.766,−74.158,379
8/6/2025,14:18:59,24.243,9.44,112.6,0.38,-1.05,73.5,0.03,48,739.2,MHK,10.75,NA,NA,NA,41.766,−74.158,379
8/6/2025,14:18:20,24.276,9.4,112.3,0.38,-1.06,73.4,0.03,48,739.2,MHK,11,NA,NA,NA,41.766,−74.158,379
8/6/2025,14:17:45,24.309,9.38,112.1,0.37,-1.05,73.4,0.03,48,739.2,MHK,11.25,NA,NA,NA,41.766,−74.158,379
8/6/2025,14:17:23,24.331,9.35,111.8,0.37,-1.04,73.4,0.03,48,739.1,MHK,11.5,NA,NA,NA,41.766,−74.158,379
