lakeID,Date,Time,Depth_m,temp_degC,doConcentration_mgpL,doSaturation_percent,chlorophyll_RFU,phycocyaninBGA_RFU_14C102008,turbidity_Fnu,pH,orp_MV,specificConductivity_uSpcm,salinity_psu,tds_mgpL,waterPressure_barA,latitude,longitude,altitude_m,barometerAirHandheld_mbars
MHK,7/23/2024,10:24:48,0,25.491,8.76,107,0.6,-0.23,NA,8.12,NA,91.6,0.04,60,NA,0,0,0,730.4
MHK,7/23/2024,10:25:09,0.25,25.622,8.72,106.8,0.61,-0.24,NA,8.16,NA,89.9,0.04,58,NA,0,0,0,730.3
MHK,7/23/2024,10:25:38,0.5,25.652,8.7,106.5,0.68,-0.28,NA,8.16,NA,89.8,0.04,58,NA,0,0,0,730.3
MHK,7/23/2024,10:26:01,0.75,25.659,8.69,106.5,0.73,-0.29,NA,8.16,NA,89.7,0.04,58,NA,41.76791,-74.15563,375.8,730.3
MHK,7/23/2024,10:26:23,1,25.665,8.69,106.4,0.66,-0.33,NA,8.16,NA,89.7,0.04,58,NA,41.76786,-74.1556,382.3,730.3
MHK,7/23/2024,10:26:43,1.25,25.656,8.68,106.3,0.74,-0.33,NA,8.15,NA,89.8,0.04,58,NA,41.76782,-74.15559,385.2,730.4
MHK,7/23/2024,10:27:01,1.5,25.654,8.68,106.3,0.64,-0.33,NA,8.13,NA,89.8,0.04,58,NA,41.76784,-74.15555,394.5,730.3
MHK,7/23/2024,10:27:21,1.75,25.653,8.67,106.2,0.68,-0.35,NA,8.13,NA,89.9,0.04,58,NA,41.76786,-74.15559,391.2,730.3
MHK,7/23/2024,10:27:42,2,25.651,8.66,106.1,0.75,-0.34,NA,8.12,NA,90,0.04,58,NA,41.76788,-74.15564,388.1,730.3
MHK,7/23/2024,10:28:12,2.25,25.651,8.67,106.2,0.76,-0.28,NA,8.11,NA,90,0.04,58,NA,41.76788,-74.1556,380.6,730.3
MHK,7/23/2024,10:28:40,2.5,25.648,8.67,106.2,0.71,-0.31,NA,8.11,NA,90,0.04,59,NA,41.76797,-74.15559,370.6,730.4
MHK,7/23/2024,10:29:05,2.75,25.646,8.65,106,0.76,-0.33,NA,8.1,NA,90.2,0.04,59,NA,41.76791,-74.15559,375.5,730.3
MHK,7/23/2024,10:29:30,3,25.619,8.58,105.1,0.74,-0.33,NA,8,NA,90.6,0.04,59,NA,41.76791,-74.15559,375.7,730.3
MHK,7/23/2024,10:29:50,3.25,25.54,8.44,103.1,0.67,-0.3,NA,7.81,NA,92.3,0.04,60,NA,41.76785,-74.15557,377.9,730.4
MHK,7/23/2024,10:30:16,3.5,25.349,8.2,99.9,0.56,-0.36,NA,7.64,NA,94.7,0.04,62,NA,41.76788,-74.15559,378.8,730.3
MHK,7/23/2024,10:30:56,3.75,24.88,8.2,99,0.62,-0.32,NA,7.49,NA,93.9,0.04,61,NA,41.76789,-74.15559,379.7,730.4
MHK,7/23/2024,10:31:26,4,24.324,9.18,109.7,1.16,-0.13,NA,7.65,NA,92.6,0.04,60,NA,41.76788,-74.15546,368.9,730.4
MHK,7/23/2024,10:31:49,4.25,23.244,10.16,119.1,1.19,-0.06,NA,7.89,NA,92.7,0.04,60,NA,41.76797,-74.1556,368.7,730.4
MHK,7/23/2024,10:32:10,4.5,21.667,11.3,128.5,1,-0.07,NA,8.08,NA,93.1,0.04,60,NA,41.76797,-74.15562,371,730.4
MHK,7/23/2024,10:32:36,4.75,20.137,12,132.5,0.94,-0.09,NA,8.03,NA,92.6,0.04,60,NA,41.76795,-74.1556,373.2,730.4
MHK,7/23/2024,10:32:58,5,18.373,12.26,130.6,1.05,-0.08,NA,7.92,NA,93.5,0.04,61,NA,41.76797,-74.15559,371.2,730.5
MHK,7/23/2024,10:33:19,5.25,17.08,12.64,131,1.17,0.09,NA,7.86,NA,92.5,0.04,60,NA,41.76795,-74.15559,373.6,730.4
MHK,7/23/2024,10:33:44,5.5,15.697,12.9,129.9,1.33,0.11,NA,7.82,NA,91.8,0.04,60,NA,41.76795,-74.15556,374.5,730.4
MHK,7/23/2024,10:34:12,5.75,14.958,13.09,129.8,1.59,0.16,NA,7.79,NA,91.8,0.04,60,NA,41.76797,-74.15564,377.5,730.4
MHK,7/23/2024,10:34:33,6,14.267,13.17,128.6,1.09,0.16,NA,7.77,NA,91,0.04,59,NA,41.76794,-74.15561,377.2,730.5
MHK,7/23/2024,10:35:03,6.25,13.258,13.25,126.6,1.09,0.27,NA,7.75,NA,91.3,0.04,59,NA,41.76795,-74.15556,370.7,730.4
MHK,7/23/2024,10:35:39,6.5,12.552,13.12,123.3,0.95,0.2,NA,7.69,NA,90.5,0.04,59,NA,41.76793,-74.15553,376,730.5
MHK,7/23/2024,10:36:04,6.75,11.579,13.09,120.4,1.01,0.24,NA,7.64,NA,91.3,0.04,59,NA,41.76796,-74.15558,373.3,730.4
