lakeID,Date,Time,Depth_m,temp_degC,doConcentration_mgpL,doSaturation_percent,chlorophyll_RFU,phycocyaninBGA_RFU_14C102008,turbidity_Fnu,pH,orp_MV,specificConductivity_uSpcm,salinity_psu,tds_mgpL,waterPressure_barA,latitude,longitude,altitude_m,barometerAirHandheld_mbars
MHK,3/26/2025,11:02:05,0,5.464,11.62,92.1,0.16,-0.62,NA,NA,NA,54,0.02,35,NA,0,0,0,727.2
MHK,3/26/2025,11:02:29,0.25,5.421,11.77,93.2,0.13,-0.58,NA,NA,NA,53.9,0.02,35,NA,41.7679,-74.15655,409.1,727.3
MHK,3/26/2025,11:03:09,0.5,5.311,11.88,93.8,0.13,-0.52,NA,NA,NA,53.4,0.02,35,NA,41.76788,-74.15649,412.6,727.2
MHK,3/26/2025,11:03:43,0.75,5.102,11.95,93.8,0.27,-0.43,NA,NA,NA,94.3,0.04,61,NA,41.76786,-74.15582,375.8,727.2
MHK,3/26/2025,11:04:13,1,5.031,11.97,93.9,0.35,-0.36,NA,NA,NA,93.8,0.04,61,NA,41.7679,-74.15559,373.4,727.2
MHK,3/26/2025,11:04:40,1.25,4.971,12,93.9,0.4,-0.36,NA,NA,NA,93.9,0.04,61,NA,41.76791,-74.15559,378.1,727.2
MHK,3/26/2025,11:05:05,1.5,4.872,12,93.7,0.62,-0.28,NA,NA,NA,94.1,0.04,61,NA,41.76789,-74.15557,377.7,727.3
MHK,3/26/2025,11:05:31,1.75,4.803,12.02,93.7,0.72,-0.27,NA,NA,NA,94.1,0.04,61,NA,41.76789,-74.15557,382.2,727.2
MHK,3/26/2025,11:05:56,2,4.753,12.02,93.6,0.69,-0.23,NA,NA,NA,94.1,0.04,61,NA,41.76787,-74.15558,379.3,727.2
MHK,3/26/2025,11:06:17,2.25,4.723,12.02,93.5,0.81,-0.22,NA,NA,NA,94,0.04,61,NA,41.76786,-74.1556,372.7,727.2
MHK,3/26/2025,11:06:43,2.5,4.693,12.02,93.4,0.96,-0.19,NA,NA,NA,94.2,0.04,61,NA,41.76787,-74.15559,374.6,727.1
MHK,3/26/2025,11:07:10,2.75,4.691,12.02,93.4,0.86,-0.21,NA,NA,NA,94.1,0.04,61,NA,41.76786,-74.1556,380.2,727.1
MHK,3/26/2025,11:07:36,3,4.707,12,93.2,0.95,-0.15,NA,NA,NA,94.2,0.04,61,NA,41.76787,-74.15559,380.5,727.2
MHK,3/26/2025,11:08:02,3.25,4.719,11.98,93.1,0.95,-0.15,NA,NA,NA,94.3,0.04,61,NA,41.76788,-74.15556,379.5,727
MHK,3/26/2025,11:08:31,3.5,4.726,11.96,93,0.72,-0.17,NA,NA,NA,94.3,0.04,61,NA,41.76786,-74.15559,386.6,727.1
MHK,3/26/2025,11:09:00,3.75,4.723,11.96,93,0.93,-0.15,NA,NA,NA,94.3,0.04,61,NA,41.76784,-74.15561,385.8,727.1
MHK,3/26/2025,11:09:27,4,4.623,11.95,92.7,0.92,-0.18,NA,NA,NA,94.6,0.04,61,NA,41.76785,-74.15559,391.4,727.1
MHK,3/26/2025,11:09:54,4.25,4.581,11.92,92.4,0.88,-0.16,NA,NA,NA,94.6,0.04,62,NA,41.76784,-74.15559,392.2,727.2
MHK,3/26/2025,11:10:21,4.5,4.526,11.91,92.1,1.05,-0.14,NA,NA,NA,94.5,0.04,61,NA,41.76785,-74.15559,396.4,727.1
MHK,3/26/2025,11:11:03,4.75,4.499,11.9,92,0.98,-0.16,NA,NA,NA,94.7,0.04,62,NA,41.76786,-74.15556,381.1,727.1
MHK,3/26/2025,11:11:24,5,4.485,11.89,91.9,1.21,-0.13,NA,NA,NA,94.7,0.04,62,NA,41.76783,-74.15559,379.4,727.1
MHK,3/26/2025,11:11:57,5.25,4.48,11.74,90.7,1.05,-0.12,NA,NA,NA,94.7,0.04,62,NA,41.76786,-74.15561,382.1,727.1
MHK,3/26/2025,11:12:23,5.5,4.485,11.62,89.8,0.88,-0.08,NA,NA,NA,94.7,0.04,62,NA,41.76788,-74.15562,382.4,727.1
MHK,3/26/2025,11:13:04,5.75,4.481,11.53,89.1,1.23,-0.03,NA,NA,NA,94.8,0.04,62,NA,41.76787,-74.1556,383.4,727.2
