Date,Time,Site_Name,temp_degC,doConcentration_mgpL,doSaturation_percent,chlorophyll_RFU,phycocyaninBGA_RFU_14C102008,pH,specificConductivity_uSpcm,salinity_psu,tds_mgpL,barometerAirHandheld_mbars,lakeID,Depth_m,turbidity_Fnu,orp_MV,waterPressure_barA,latitude,longitude,altitude_m
5/7/2025,11:42:53,Mohonk,16.227,10.08,102.6,0.86,-0.76,NA,87.8,0.04,57,727.8,MHK,0,NA,NA,NA,41.766,-74.158,379
5/7/2025,11:43:12,Mohonk,16.233,10.25,104.4,1.3,-0.75,NA,91,0.04,59,727.6,MHK,0.25,NA,NA,NA,41.766,-74.158,379
5/7/2025,11:43:34,Mohonk,16.236,10.32,105.1,1.31,-0.7,NA,91,0.04,59,727.8,MHK,0.5,NA,NA,NA,41.766,-74.158,379
5/7/2025,11:44:02,Mohonk,16.186,10.34,105.2,0.91,-0.63,NA,91,0.04,59,727.6,MHK,0.75,NA,NA,NA,41.766,-74.158,379
5/7/2025,11:44:25,Mohonk,16.15,10.33,105,3.47,-0.61,NA,91,0.04,59,727.6,MHK,1,NA,NA,NA,41.766,-74.158,379
5/7/2025,11:44:49,Mohonk,16.091,10.33,104.9,2.46,-0.45,NA,91,0.04,59,727.8,MHK,1.25,NA,NA,NA,41.766,-74.158,379
5/7/2025,11:45:13,Mohonk,16.055,10.34,104.9,6.44,-0.41,NA,91,0.04,59,727.7,MHK,1.5,NA,NA,NA,41.766,-74.158,379
5/7/2025,11:45:37,Mohonk,16.017,10.35,104.9,6.01,-0.57,NA,91.1,0.04,59,727.7,MHK,1.75,NA,NA,NA,41.766,-74.158,379
5/7/2025,11:46:02,Mohonk,15.962,10.34,104.6,1.31,-0.38,NA,91.4,0.04,59,727.7,MHK,2,NA,NA,NA,41.766,-74.158,379
5/7/2025,11:46:25,Mohonk,15.858,10.31,104.1,1.59,-0.45,NA,91.7,0.04,60,727.7,MHK,2.25,NA,NA,NA,41.766,-74.158,379
5/7/2025,11:46:48,Mohonk,15.579,10.31,103.6,0.54,-0.87,NA,91.9,0.04,60,727.7,MHK,2.5,NA,NA,NA,41.766,-74.158,379
5/7/2025,11:47:10,Mohonk,14.858,10.25,101.4,0.39,-0.93,NA,94.4,0.04,61,727.6,MHK,2.75,NA,NA,NA,41.766,-74.158,379
5/7/2025,11:47:30,Mohonk,14.022,10.41,101.1,0.85,-0.69,NA,97.1,0.05,63,727.7,MHK,3,NA,NA,NA,41.766,-74.158,379
5/7/2025,11:47:54,Mohonk,13.046,10.79,102.5,0.68,-0.82,NA,97.7,0.05,64,727.8,MHK,3.25,NA,NA,NA,41.766,-74.158,379
5/7/2025,11:48:17,Mohonk,11.605,11.15,102.6,0.62,-0.82,NA,96.7,0.05,63,727.7,MHK,3.5,NA,NA,NA,41.766,-74.158,379
5/7/2025,11:48:41,Mohonk,10.896,11.19,101.3,0.57,-0.62,NA,97.2,0.05,63,727.7,MHK,3.75,NA,NA,NA,41.766,-74.158,379
5/7/2025,11:49:03,Mohonk,10.264,11.2,99.9,0.58,-0.8,NA,96.8,0.05,63,727.6,MHK,4,NA,NA,NA,41.766,-74.158,379
5/7/2025,11:49:28,Mohonk,9.672,11.19,98.4,0.41,-0.78,NA,96.6,0.05,63,727.6,MHK,4.25,NA,NA,NA,41.766,-74.158,379
5/7/2025,11:50:15,Mohonk,9.049,11.27,97.7,0.31,-0.75,NA,95.7,0.04,62,727.7,MHK,4.5,NA,NA,NA,41.766,-74.158,379
5/7/2025,11:50:48,Mohonk,8.759,11.3,97.2,0.36,-0.71,NA,95.7,0.04,62,727.7,MHK,4.75,NA,NA,NA,41.766,-74.158,379
5/7/2025,11:51:13,Mohonk,8.49,11.38,97.2,0.34,-0.73,NA,94.9,0.04,62,727.8,MHK,5,NA,NA,NA,41.766,-74.158,379
5/7/2025,11:51:49,Mohonk,8.127,11.38,96.4,0.32,-0.72,NA,94.7,0.04,62,727.6,MHK,5.25,NA,NA,NA,41.766,-74.158,379
5/7/2025,11:52:13,Mohonk,7.908,11.32,95.4,0.23,-0.72,NA,95.1,0.04,62,727.6,MHK,5.5,NA,NA,NA,41.766,-74.158,379
5/7/2025,11:52:45,Mohonk,7.642,11.06,92.6,0.17,-0.72,NA,95.9,0.04,62,727.6,MHK,5.75,NA,NA,NA,41.766,-74.158,379
5/7/2025,11:53:09,Mohonk,7.44,10.83,90.2,0.14,-0.67,NA,96.3,0.05,63,727.6,MHK,6,NA,NA,NA,41.766,-74.158,379
5/7/2025,11:53:35,Mohonk,7.049,10.75,88.7,0.12,-0.7,NA,96.4,0.05,63,727.7,MHK,6.25,NA,NA,NA,41.766,-74.158,379
5/7/2025,11:54:02,Mohonk,6.871,10.77,88.4,0.09,-0.69,NA,95.8,0.04,62,727.6,MHK,6.5,NA,NA,NA,41.766,-74.158,379
5/7/2025,11:54:28,Mohonk,6.698,10.75,87.9,0.09,-0.7,NA,95.2,0.04,62,727.6,MHK,6.75,NA,NA,NA,41.766,-74.158,379
5/7/2025,11:54:51,Mohonk,6.57,10.72,87.4,0.08,-0.68,NA,95.1,0.04,62,727.6,MHK,7,NA,NA,NA,41.766,-74.158,379
5/7/2025,11:55:18,Mohonk,6.459,10.7,87,0.09,-0.67,NA,95.2,0.04,62,727.7,MHK,7.25,NA,NA,NA,41.766,-74.158,379
5/7/2025,11:55:41,Mohonk,6.374,10.71,86.8,0.08,-0.66,NA,95.2,0.04,62,727.7,MHK,7.5,NA,NA,NA,41.766,-74.158,379
5/7/2025,11:56:09,Mohonk,6.292,10.69,86.5,0.09,-0.69,NA,95.3,0.04,62,727.7,MHK,7.75,NA,NA,NA,41.766,-74.158,379
5/7/2025,11:56:36,Mohonk,6.247,10.66,86.2,0.1,-0.67,NA,95.1,0.04,62,727.7,MHK,8,NA,NA,NA,41.766,-74.158,379
5/7/2025,11:57:05,Mohonk,6.207,10.64,86,0.07,-0.66,NA,95.1,0.04,62,727.7,MHK,8.25,NA,NA,NA,41.766,-74.158,379
5/7/2025,11:57:52,Mohonk,6.152,10.62,85.7,0.06,-0.64,NA,95,0.04,62,727.7,MHK,8.5,NA,NA,NA,41.766,-74.158,379
5/7/2025,11:58:24,Mohonk,6.092,10.59,85.3,0.06,-0.64,NA,95,0.04,62,727.6,MHK,8.75,NA,NA,NA,41.766,-74.158,379
5/7/2025,11:58:47,Mohonk,6.057,10.53,84.7,0.01,-0.66,NA,95,0.04,62,727.6,MHK,9,NA,NA,NA,41.766,-74.158,379
5/7/2025,11:59:11,Mohonk,6.034,10.44,84,0.03,-0.65,NA,95.1,0.04,62,727.6,MHK,9.25,NA,NA,NA,41.766,-74.158,379
5/7/2025,11:59:39,Mohonk,6.008,10.29,82.7,0.08,-0.64,NA,95.4,0.04,62,727.6,MHK,9.5,NA,NA,NA,41.766,-74.158,379
5/7/2025,12:00:07,Mohonk,5.981,9.9,79.5,0.05,-0.63,NA,95.8,0.04,62,727.6,MHK,9.75,NA,NA,NA,41.766,-74.158,379
5/7/2025,12:00:41,Mohonk,5.953,9.58,76.9,0.04,-0.67,NA,96.1,0.04,62,727.7,MHK,10,NA,NA,NA,41.766,-74.158,379
5/7/2025,12:02:24,Mohonk,5.88,8.93,71.5,0.05,-0.65,NA,96.5,0.05,63,727.7,MHK,10.25,NA,NA,NA,41.766,-74.158,379
5/7/2025,12:02:49,Mohonk,5.872,8.83,70.8,0.08,-0.64,NA,96.5,0.05,63,727.6,MHK,10.5,NA,NA,NA,41.766,-74.158,379
5/7/2025,12:03:15,Mohonk,5.844,8.85,70.9,0.03,-0.62,NA,96.5,0.05,63,727.7,MHK,10.75,NA,NA,NA,41.766,-74.158,379
