Date,Time,Site_Name,temp_degC,doConcentration_mgpL,doSaturation_percent,chlorophyll_RFU,phycocyaninBGA_RFU_14C102008,specificConductivity_uSpcm,salinity_psu,tds_mgpL,barometerAirHandheld_mbars,lakeID,Depth_m,turbidity_Fnu,orp_MV,waterPressure_barA,pH,latitude,longitude,altitude_m
8/5/2026,10:40:31,Mohonk,24.201,8.38,99.9,0.09,-0.52,101,0.05,66,733.3,MHK,0,NA,NA,NA,NA,41.766,-74.158,379
8/5/2026,10:41:00,Mohonk,24.216,8.38,100,0.11,-0.53,101.1,0.05,66,733.3,MHK,0.25,NA,NA,NA,NA,41.766,-74.158,379
8/5/2026,10:41:29,Mohonk,24.215,8.39,100.1,0.15,-0.54,101,0.05,66,733.3,MHK,0.5,NA,NA,NA,NA,41.766,-74.158,379
8/5/2026,10:42:02,Mohonk,24.21,8.39,100,0.12,-0.52,101,0.05,66,733.2,MHK,0.75,NA,NA,NA,NA,41.766,-74.158,379
8/5/2026,10:42:28,Mohonk,24.207,8.38,99.9,0.13,-0.55,101.1,0.05,66,733.2,MHK,1,NA,NA,NA,NA,41.766,-74.158,379
8/5/2026,10:43:00,Mohonk,24.179,8.37,99.8,0.16,-0.52,101.1,0.05,66,733.3,MHK,1.25,NA,NA,NA,NA,41.766,-74.158,379
8/5/2026,10:43:26,Mohonk,24.152,8.38,99.8,0.16,-0.51,101.1,0.05,66,733.3,MHK,1.5,NA,NA,NA,NA,41.766,-74.158,379
8/5/2026,10:44:02,Mohonk,24.126,8.38,99.9,0.15,-0.51,101,0.05,66,733.3,MHK,1.75,NA,NA,NA,NA,41.766,-74.158,379
8/5/2026,10:44:32,Mohonk,24.09,8.4,100,0.14,-0.55,101.1,0.05,66,733.3,MHK,2,NA,NA,NA,NA,41.766,-74.158,379
8/5/2026,10:44:56,Mohonk,24.062,8.44,100.4,0.18,-0.5,101,0.05,66,733.3,MHK,2.25,NA,NA,NA,NA,41.766,-74.158,379
8/5/2026,10:45:22,Mohonk,24.01,8.48,100.8,0.17,-0.51,100.7,0.05,65,733.3,MHK,2.5,NA,NA,NA,NA,41.766,-74.158,379
8/5/2026,10:45:49,Mohonk,23.949,8.49,100.8,0.19,-0.49,100.7,0.05,65,733.3,MHK,2.75,NA,NA,NA,NA,41.766,-74.158,379
8/5/2026,10:46:14,Mohonk,23.881,8.49,100.6,0.22,-0.45,100.6,0.05,65,733.3,MHK,3,NA,NA,NA,NA,41.766,-74.158,379
8/5/2026,10:46:48,Mohonk,23.832,8.47,100.3,0.21,-0.48,100.5,0.05,65,733.3,MHK,3.25,NA,NA,NA,NA,41.766,-74.158,379
8/5/2026,10:47:14,Mohonk,23.79,8.44,99.9,0.28,-0.41,100.5,0.05,65,733.3,MHK,3.5,NA,NA,NA,NA,41.766,-74.158,379
8/5/2026,10:47:46,Mohonk,23.756,8.42,99.6,0.25,-0.44,100.5,0.05,65,733.3,MHK,3.75,NA,NA,NA,NA,41.766,-74.158,379
8/5/2026,10:48:12,Mohonk,23.655,8.35,98.6,0.23,-0.46,101.3,0.05,66,733.3,MHK,4,NA,NA,NA,NA,41.766,-74.158,379
8/5/2026,10:48:40,Mohonk,23.351,8.22,96.5,0.34,-0.37,102.8,0.05,67,733.3,MHK,4.25,NA,NA,NA,NA,41.766,-74.158,379
8/5/2026,10:49:04,Mohonk,23.064,8.18,95.5,0.32,-0.37,102.9,0.05,67,733.4,MHK,4.5,NA,NA,NA,NA,41.766,-74.158,379
8/5/2026,10:49:32,Mohonk,22.747,8.14,94.4,0.36,-0.28,103.2,0.05,67,733.3,MHK,4.75,NA,NA,NA,NA,41.766,-74.158,379
8/5/2026,10:50:05,Mohonk,21.817,8.43,96.1,0.33,-0.34,104.8,0.05,68,733.3,MHK,5,NA,NA,NA,NA,41.766,-74.158,379
8/5/2026,10:50:40,Mohonk,20.743,9.4,104.9,0.33,-0.28,105.7,0.05,69,733.3,MHK,5.25,NA,NA,NA,NA,41.766,-74.158,379
8/5/2026,10:51:10,Mohonk,20.124,10.08,111.1,0.3,-0.24,105.5,0.05,69,733.3,MHK,5.5,NA,NA,NA,NA,41.766,-74.158,379
8/5/2026,10:51:33,Mohonk,19.332,10.63,115.4,0.27,-0.23,105.3,0.05,68,733.4,MHK,5.75,NA,NA,NA,NA,41.766,-74.158,379
8/5/2026,10:52:00,Mohonk,18.077,11.44,121.1,0.22,-0.2,105,0.05,68,733.4,MHK,6,NA,NA,NA,NA,41.766,-74.158,379
8/5/2026,10:52:28,Mohonk,17.13,11.86,123.1,0.24,-0.11,105.1,0.05,68,733.3,MHK,6.25,NA,NA,NA,NA,41.766,-74.158,379
8/5/2026,10:52:54,Mohonk,15.861,11.81,119.4,0.26,-0.11,105,0.05,68,733.3,MHK,6.5,NA,NA,NA,NA,41.766,-74.158,379
8/5/2026,10:53:23,Mohonk,14.588,12,118,0.31,-0.01,105.1,0.05,68,733.3,MHK,6.75,NA,NA,NA,NA,41.766,-74.158,379
8/5/2026,10:53:51,Mohonk,13.193,12.22,116.5,0.35,0.04,104.8,0.05,68,733.4,MHK,7,NA,NA,NA,NA,41.766,-74.158,379
8/5/2026,10:54:17,Mohonk,12.592,12.14,114.2,0.43,0.15,103.5,0.05,67,733.3,MHK,7.25,NA,NA,NA,NA,41.766,-74.158,379
8/5/2026,10:54:45,Mohonk,11.905,11.91,110.3,0.49,0.24,102.9,0.05,67,733.3,MHK,7.5,NA,NA,NA,NA,41.766,-74.158,379
8/5/2026,10:55:08,Mohonk,11.458,11.7,107.3,0.63,0.33,102.6,0.05,67,733.4,MHK,7.75,NA,NA,NA,NA,41.766,-74.158,379
8/5/2026,10:55:38,Mohonk,10.657,11.52,103.7,0.6,0.38,102.6,0.05,67,733.4,MHK,8,NA,NA,NA,NA,41.766,-74.158,379
8/5/2026,10:56:07,Mohonk,10.46,11.06,99.1,0.82,0.47,102.1,0.05,66,733.4,MHK,8.25,NA,NA,NA,NA,41.766,-74.158,379
8/5/2026,10:56:31,Mohonk,9.959,10.78,95.4,0.9,0.55,102.3,0.05,67,733.4,MHK,8.5,NA,NA,NA,NA,41.766,-74.158,379
8/5/2026,10:56:59,Mohonk,9.501,10.21,89.4,0.86,0.56,102.4,0.05,67,733.3,MHK,8.75,NA,NA,NA,NA,41.766,-74.158,379
8/5/2026,10:57:25,Mohonk,8.92,9.5,82,0.82,0.57,103.2,0.05,67,733.4,MHK,9,NA,NA,NA,NA,41.766,-74.158,379
8/5/2026,10:57:58,Mohonk,8.597,8.46,72.5,0.93,0.66,102.9,0.05,67,733.4,MHK,9.25,NA,NA,NA,NA,41.766,-74.158,379
8/5/2026,10:58:23,Mohonk,8.247,7.6,64.6,0.65,0.6,103.2,0.05,67,733.4,MHK,9.5,NA,NA,NA,NA,41.766,-74.158,379
8/5/2026,10:58:47,Mohonk,7.943,6.82,57.6,0.6,0.65,103.6,0.05,67,733.3,MHK,9.75,NA,NA,NA,NA,41.766,-74.158,379
8/5/2026,10:59:18,Mohonk,7.658,6.08,50.9,0.6,0.61,104,0.05,68,733.4,MHK,10,NA,NA,NA,NA,41.766,-74.158,379
8/5/2026,10:59:43,Mohonk,7.522,5.41,45.1,0.6,0.6,104.3,0.05,68,733.4,MHK,10.25,NA,NA,NA,NA,41.766,-74.158,379
8/5/2026,11:00:07,Mohonk,7.375,4.79,39.8,0.43,0.59,104.4,0.05,68,733.5,MHK,10.5,NA,NA,NA,NA,41.766,-74.158,379
8/5/2026,11:00:34,Mohonk,7.015,3.87,31.9,0.41,0.54,105.5,0.05,69,733.4,MHK,10.75,NA,NA,NA,NA,41.766,-74.158,379
8/5/2026,11:00:59,Mohonk,6.852,2.94,24.2,0.33,0.53,106.5,0.05,69,733.5,MHK,11,NA,NA,NA,NA,41.766,-74.158,379
8/5/2026,11:01:08,Mohonk,6.775,2.63,21.6,0.27,0.56,107.1,0.05,70,733.4,MHK,11.25,NA,NA,NA,NA,41.766,-74.158,379
8/5/2026,11:01:35,Mohonk,6.715,1.78,14.6,0.26,0.54,107.6,0.05,70,733.4,MHK,11.5,NA,NA,NA,NA,41.766,-74.158,379
8/5/2026,11:02:11,Mohonk,6.455,1.09,8.9,0.18,0.55,109.3,0.05,71,733.4,MHK,11.75,NA,NA,NA,NA,41.766,-74.158,379
8/5/2026,11:02:37,Mohonk,6.37,0.84,6.8,0.14,0.52,111.1,0.05,72,733.4,MHK,12,NA,NA,NA,NA,41.766,-74.158,379
8/5/2026,11:03:01,Mohonk,6.318,0.71,5.7,0.58,1.02,112.9,0.05,73,733.4,MHK,12.25,NA,NA,NA,NA,41.766,-74.158,379
