Date,Time,Site_Name,temp_degC,doConcentration_mgpL,doSaturation_percent,chlorophyll_RFU,phycocyaninBGA_RFU_14C102008,specificConductivity_uSpcm,salinity_psu,tds_mgpL,barometerAirHandheld_mbars,lakeID,Depth_m,turbidity_Fnu,orp_MV,waterPressure_barA,pH,latitude,longitude,altitude_m
3/4/2026,10:54:43,Mohonk,0.249,12.44,85.7,1.67,1.38,112.6,0.05,73,734.8,MHK,0,NA,NA,NA,NA,41.766,-74.158,379
3/4/2026,10:55:16,Mohonk,0.134,12.65,86.8,0.93,1.75,110.7,0.05,72,734.7,MHK,0.25,NA,NA,NA,NA,41.766,-74.158,379
3/4/2026,10:55:59,Mohonk,0.146,12.85,88.3,12.99,5.53,111.2,0.05,72,734.8,MHK,0.5,NA,NA,NA,NA,41.766,-74.158,379
3/4/2026,10:56:37,Mohonk,1.093,12.6,88.9,4.69,3.38,106.3,0.05,69,734.8,MHK,0.75,NA,NA,NA,NA,41.766,-74.158,379
3/4/2026,10:57:02,Mohonk,1.476,12.44,88.7,6.2,2.52,104.5,0.05,68,734.7,MHK,1,NA,NA,NA,NA,41.766,-74.158,379
3/4/2026,10:57:26,Mohonk,1.787,12.18,87.6,0.52,1.06,103,0.05,67,734.7,MHK,1.25,NA,NA,NA,NA,41.766,-74.158,379
3/4/2026,10:57:49,Mohonk,1.998,11.92,86.2,0.26,0.91,102,0.05,66,734.7,MHK,1.5,NA,NA,NA,NA,41.766,-74.158,379
3/4/2026,10:58:14,Mohonk,2.161,11.6,84.2,0.15,0.83,100.6,0.05,65,734.7,MHK,1.75,NA,NA,NA,NA,41.766,-74.158,379
3/4/2026,10:58:40,Mohonk,2.292,11.3,82.4,0.2,0.85,100,0.05,65,734.7,MHK,2,NA,NA,NA,NA,41.766,-74.158,379
3/4/2026,10:59:02,Mohonk,2.353,11.1,81.1,0.09,0.79,99.9,0.05,65,734.6,MHK,2.25,NA,NA,NA,NA,41.766,-74.158,379
3/4/2026,10:59:25,Mohonk,2.391,10.94,80,0.1,0.8,101.6,0.05,66,734.7,MHK,2.5,NA,NA,NA,NA,41.766,-74.158,379
3/4/2026,10:59:50,Mohonk,2.454,10.77,78.8,0.08,0.77,101.5,0.05,66,734.8,MHK,2.75,NA,NA,NA,NA,41.766,-74.158,379
3/4/2026,11:00:14,Mohonk,2.482,10.6,77.7,0.07,0.76,101.6,0.05,66,734.7,MHK,3,NA,NA,NA,NA,41.766,-74.158,379
3/4/2026,11:00:37,Mohonk,2.501,10.44,76.6,0.08,0.75,102,0.05,66,734.7,MHK,3.25,NA,NA,NA,NA,41.766,-74.158,379
3/4/2026,11:01:10,Mohonk,2.521,10.26,75.3,0.03,0.74,102.1,0.05,66,734.6,MHK,3.5,NA,NA,NA,NA,41.766,-74.158,379
3/4/2026,11:01:36,Mohonk,2.541,10.12,74.3,0.06,0.74,102.1,0.05,66,734.6,MHK,3.75,NA,NA,NA,NA,41.766,-74.158,379
3/4/2026,11:02:00,Mohonk,2.551,10.01,73.5,0.06,0.76,102.1,0.05,66,734.6,MHK,4,NA,NA,NA,NA,41.766,-74.158,379
3/4/2026,11:02:23,Mohonk,2.564,9.92,72.8,0.06,0.71,102.2,0.05,66,734.5,MHK,4.25,NA,NA,NA,NA,41.766,-74.158,379
3/4/2026,11:02:50,Mohonk,2.571,9.83,72.2,0.04,0.73,102.3,0.05,66,734.5,MHK,4.5,NA,NA,NA,NA,41.766,-74.158,379
3/4/2026,11:03:17,Mohonk,2.58,9.76,71.7,0.03,0.72,102.4,0.05,67,734.5,MHK,4.75,NA,NA,NA,NA,41.766,-74.158,379
3/4/2026,11:03:39,Mohonk,2.589,9.71,71.4,0.04,0.69,102.3,0.05,66,734.6,MHK,5,NA,NA,NA,NA,41.766,-74.158,379
3/4/2026,11:04:03,Mohonk,2.593,9.66,71,0.06,0.71,103,0.05,67,734.7,MHK,5.25,NA,NA,NA,NA,41.766,-74.158,379
3/4/2026,11:04:32,Mohonk,2.597,9.6,70.5,0.02,0.7,103.2,0.05,67,734.7,MHK,5.5,NA,NA,NA,NA,41.766,-74.158,379
3/4/2026,11:04:57,Mohonk,2.604,9.55,70.2,0.07,0.72,103.2,0.05,67,734.6,MHK,5.75,NA,NA,NA,NA,41.766,-74.158,379
