Date,Time,Site_Name,temp_degC,doConcentration_mgpL,doSaturation_percent,chlorophyll_RFU,phycocyaninBGA_RFU_14C102008,specificConductivity_uSpcm,salinity_psu,tds_mgpL,barometerAirHandheld_mbars,lakeID,Depth_m,turbidity_Fnu,orp_MV,waterPressure_barA,pH,latitude,longitude,altitude_m
5/21/2026,12:24:18,Mohonk,19.317,9.39,101.9,0.22,0,99.6,0.05,65,734.5,MHK,0,NA,NA,NA,NA,41.766,-74.158,379
5/21/2026,12:24:59,Mohonk,18.87,9.84,105.8,0.33,0.03,99.7,0.05,65,734.5,MHK,0.25,NA,NA,NA,NA,41.766,-74.158,379
5/21/2026,12:25:31,Mohonk,18.67,10.34,110.7,0.36,0.07,99.2,0.05,65,734.4,MHK,0.5,NA,NA,NA,NA,41.766,-74.158,379
5/21/2026,12:27:06,Mohonk,18.241,10.6,112.5,0.38,0.04,99.8,0.05,65,734.4,MHK,0.75,NA,NA,NA,NA,41.766,-74.158,379
5/21/2026,12:27:43,Mohonk,17.952,10.62,112.1,0.41,0.06,99.9,0.05,65,734.4,MHK,1,NA,NA,NA,NA,41.766,-74.158,379
5/21/2026,12:28:18,Mohonk,17.712,10.59,111.3,0.45,0.11,100,0.05,65,734.3,MHK,1.25,NA,NA,NA,NA,41.766,-74.158,379
5/21/2026,12:29:19,Mohonk,17.213,10.61,110.2,0.46,0.15,99.9,0.05,65,734.4,MHK,1.5,NA,NA,NA,NA,41.766,-74.158,379
5/21/2026,12:29:44,Mohonk,16.875,10.63,109.7,0.48,0.13,100,0.05,65,734.4,MHK,1.75,NA,NA,NA,NA,41.766,-74.158,379
5/21/2026,12:30:25,Mohonk,16.584,10.7,109.8,0.5,0.2,99.7,0.05,65,734.5,MHK,2,NA,NA,NA,NA,41.766,-74.158,379
5/21/2026,12:30:56,Mohonk,16.383,10.72,109.5,0.47,0.17,99.8,0.05,65,734.4,MHK,2.25,NA,NA,NA,NA,41.766,-74.158,379
5/21/2026,12:31:34,Mohonk,16.123,10.74,109.1,0.49,0.2,99.9,0.05,65,734.4,MHK,2.5,NA,NA,NA,NA,41.766,-74.158,379
5/21/2026,12:32:02,Mohonk,15.748,10.73,108.1,0.6,0.24,100,0.05,65,734.4,MHK,2.75,NA,NA,NA,NA,41.766,-74.158,379
